workerid,proliferate.condition,task_diff,error
124,Shift40_bwd_ExpBlockC,no-trouble,
128,Shift0_bwd_ExpBlockC,no-trouble,
118,Shift0_fwd_ExpBlockC,no-trouble,
135,Shift40_fwd_ExpBlockC,no-trouble,
141,Shift40_fwd_ExpBlockC,no-trouble,
139,Shift40_bwd_ExpBlockB,no-trouble,
131,Shift40_bwd_ExpBlockB,no-trouble,
134,Shift10_fwd_ExpBlockA,no-trouble,
126,Shift10_fwd_ExpBlockA,no-trouble,
147,Shift0_bwd_ExpBlockB,no-trouble,
142,Shift0_bwd_ExpBlockB,no-trouble,
140,Shift10_bwd_ExpBlockC,took-time,
148,Shift0_bwd_ExpBlockA,no-trouble,
146,Shift0_fwd_ExpBlockB,no-trouble,
144,Shift40_fwd_ExpBlockB,no-trouble,
138,Shift40_fwd_ExpBlockB,no-trouble,
125,Shift0_fwd_ExpBlockA,no-trouble,
119,Shift0_fwd_ExpBlockA,no-trouble,
