workerid,proliferate.condition,userDateTimeOffset,error
124,Shift40_bwd_ExpBlockC,420,
128,Shift0_bwd_ExpBlockC,300,
118,Shift0_fwd_ExpBlockC,300,
135,Shift40_fwd_ExpBlockC,240,
141,Shift40_fwd_ExpBlockC,240,
139,Shift40_bwd_ExpBlockB,240,
131,Shift40_bwd_ExpBlockB,300,
134,Shift10_fwd_ExpBlockA,300,
126,Shift10_fwd_ExpBlockA,240,
147,Shift0_bwd_ExpBlockB,240,
142,Shift0_bwd_ExpBlockB,240,
140,Shift10_bwd_ExpBlockC,240,
148,Shift0_bwd_ExpBlockA,420,
146,Shift0_fwd_ExpBlockB,240,
144,Shift40_fwd_ExpBlockB,240,
138,Shift40_fwd_ExpBlockB,240,
125,Shift0_fwd_ExpBlockA,420,
119,Shift0_fwd_ExpBlockA,240,
