workerid,proliferate.condition,sex,error
124,Shift40_bwd_ExpBlockC,woman,
128,Shift0_bwd_ExpBlockC,woman,
118,Shift0_fwd_ExpBlockC,woman,
135,Shift40_fwd_ExpBlockC,woman,
141,Shift40_fwd_ExpBlockC,woman,
139,Shift40_bwd_ExpBlockB,woman,
131,Shift40_bwd_ExpBlockB,woman,
134,Shift10_fwd_ExpBlockA,woman,
126,Shift10_fwd_ExpBlockA,woman,
147,Shift0_bwd_ExpBlockB,woman,
142,Shift0_bwd_ExpBlockB,woman,
140,Shift10_bwd_ExpBlockC,woman,
148,Shift0_bwd_ExpBlockA,woman,
146,Shift0_fwd_ExpBlockB,woman,
144,Shift40_fwd_ExpBlockB,woman,
138,Shift40_fwd_ExpBlockB,woman,
125,Shift0_fwd_ExpBlockA,woman,
119,Shift0_fwd_ExpBlockA,woman,
