workerid,proliferate.condition,platform,error
124,Shift40_bwd_ExpBlockC,prolific,
128,Shift0_bwd_ExpBlockC,prolific,
118,Shift0_fwd_ExpBlockC,prolific,
135,Shift40_fwd_ExpBlockC,prolific,
141,Shift40_fwd_ExpBlockC,prolific,
139,Shift40_bwd_ExpBlockB,prolific,
131,Shift40_bwd_ExpBlockB,prolific,
134,Shift10_fwd_ExpBlockA,prolific,
126,Shift10_fwd_ExpBlockA,prolific,
147,Shift0_bwd_ExpBlockB,prolific,
142,Shift0_bwd_ExpBlockB,prolific,
140,Shift10_bwd_ExpBlockC,prolific,
148,Shift0_bwd_ExpBlockA,prolific,
146,Shift0_fwd_ExpBlockB,prolific,
144,Shift40_fwd_ExpBlockB,prolific,
138,Shift40_fwd_ExpBlockB,prolific,
125,Shift0_fwd_ExpBlockA,prolific,
119,Shift0_fwd_ExpBlockA,prolific,
