workerid,proliferate.condition,image_selection,error
124,Shift40_bwd_ExpBlockC,backward,
128,Shift0_bwd_ExpBlockC,backward,
118,Shift0_fwd_ExpBlockC,forward,
135,Shift40_fwd_ExpBlockC,forward,
141,Shift40_fwd_ExpBlockC,forward,
139,Shift40_bwd_ExpBlockB,backward,
131,Shift40_bwd_ExpBlockB,backward,
134,Shift10_fwd_ExpBlockA,forward,
126,Shift10_fwd_ExpBlockA,forward,
147,Shift0_bwd_ExpBlockB,backward,
142,Shift0_bwd_ExpBlockB,backward,
140,Shift10_bwd_ExpBlockC,backward,
148,Shift0_bwd_ExpBlockA,backward,
146,Shift0_fwd_ExpBlockB,forward,
144,Shift40_fwd_ExpBlockB,forward,
138,Shift40_fwd_ExpBlockB,forward,
125,Shift0_fwd_ExpBlockA,forward,
119,Shift0_fwd_ExpBlockA,forward,
