workerid,proliferate.condition,rsrb.ethnicity,error
124,Shift40_bwd_ExpBlockC,NonHisp,
128,Shift0_bwd_ExpBlockC,NonHisp,
118,Shift0_fwd_ExpBlockC,NonHisp,
135,Shift40_fwd_ExpBlockC,NonHisp,
141,Shift40_fwd_ExpBlockC,NonHisp,
139,Shift40_bwd_ExpBlockB,NonHisp,
131,Shift40_bwd_ExpBlockB,Hisp,
134,Shift10_fwd_ExpBlockA,NonHisp,
126,Shift10_fwd_ExpBlockA,NonHisp,
147,Shift0_bwd_ExpBlockB,NonHisp,
142,Shift0_bwd_ExpBlockB,NonHisp,
140,Shift10_bwd_ExpBlockC,NonHisp,
148,Shift0_bwd_ExpBlockA,NonHisp,
146,Shift0_fwd_ExpBlockB,NonHisp,
144,Shift40_fwd_ExpBlockB,NonHisp,
138,Shift40_fwd_ExpBlockB,NonHisp,
125,Shift0_fwd_ExpBlockA,NonHisp,
119,Shift0_fwd_ExpBlockA,NonHisp,
