filename,vowel,f0_5ms_into_vowel,f0_10ms_into_vowel,f0_15ms_into_vowel,f0_20ms_into_vowel,f0_25ms_into_vowel,f0_30ms_into_vowel
dintin_VOT-5_F0246,0.1474683872274025,245.1320962161682,244.8657382607023,244.56395062924864,244.23943760702895,243.84766108173434,243.4108537323724
dintin_VOT-10_F0246,0.15020731129193476,244.80171709496463,244.50556757909408,244.1656018287306,243.7915747395386,243.3804563422636,242.9562124364836
dintin_VOT-15_F0245,0.1476792019721418,244.26798001382062,243.9243786957333,243.5850889064002,243.2499957120795,242.90043137442603,242.53064474371425
dintin_VOT-20_F0245,0.15330332242366018,244.85486737836,244.5340418064319,244.18413708025543,243.80370574471715,243.39871747841278,242.96870576231862
dintin_VOT-30_F0245,0.15040935118091392,244.08616518184184,243.63173255622903,243.22545960023126,242.846495330004,242.46655696068885,242.08160610054077
dintin_VOT-40_F0245,0.15000457595101713,244.05350698857126,243.6173013107637,243.22119652745687,242.8391272342571,242.45902032506342,242.07792077018385
dintin_VOT-50_F0244,0.15063255314897317,243.08636496472303,242.7511761427906,242.44847549817072,242.1237144348475,241.75717393197505,241.38141040011965
dintin_VOT-60_F0244,0.1506325531489736,243.02718292310374,242.72931911550157,242.4434424426111,242.1113386461934,241.7441149102934,241.3755147793499
dintin_VOT-70_F0244,0.1506325531489736,242.67152734951654,242.56330905947323,242.33187142500836,242.0212820103492,241.67491207187993,241.321531188459
dintin_VOT-80_F0243,0.15083254405314594,242.29370715391747,241.89100359987756,241.52030324566485,241.20688106065415,240.89973686022364,240.56508769378354
dintin_VOT-90_F0243,0.14697889007024667,242.18900559109053,241.85812112541188,241.5507089984788,241.2727455337101,240.99879922640102,240.71836527637493
dintin_VOT-100_F0242,0.14861816441703724,241.35767367639315,241.18656204156827,240.97991076475412,240.71188802034916,240.4004916242526,240.09991931231562
dintin_VOT0_F0246,0.15020731129193532,244.88969389612402,244.54653259205784,244.19645919528094,243.81084576544808,243.3981522751502,242.97382102442788
dintin_VOT5_F0246,0.14997944066515512,245.35469799567343,244.96365273568932,244.54822992468158,244.12251983357575,243.69073615316688,243.26717290070934
dintin_VOT10_F0247,0.14989237862649318,245.41452270141906,245.2332211358878,244.95571103872737,244.59289171988556,244.17454360095726,243.71331448780805
dintin_VOT15_F0247,0.1497928149567489,245.94166654088576,245.60908413307027,245.25571812538044,244.87258354850997,244.47015627127394,244.0472152291867
dintin_VOT20_F0247,0.14993787914026058,246.19000064564216,245.88906580177485,245.52932401936738,245.13729068886596,244.71500938512892,244.27206964723507
dintin_VOT25_F0247,0.14998866125506183,246.45721056055964,246.13885874801568,245.76842580910252,245.36695426225867,244.94844625897488,244.51168238665323
dintin_VOT30_F0247,0.14605940465110656,246.34143744646272,246.05232951706938,245.65242288243576,245.15193782714755,244.63274468972824,244.11989999266578
dintin_VOT35_F0247,0.14214948236342728,246.4624117192631,246.1452007447012,245.69950880211044,245.19584933829486,244.65749732737535,244.09245179787155
dintin_VOT40_F0248,0.141679978654361,246.48835833078093,246.21873124301385,245.88766614267072,245.39003045305628,244.81219492395374,244.18651187229761
dintin_VOT45_F0248,0.141756852269614,247.07112716941853,246.75905976880225,246.36931867700343,245.82736022150405,245.20499900132978,244.55608571657558
dintin_VOT50_F0248,0.14171169879503154,247.11728319990763,247.00219054451938,246.7430314472497,246.30346988816754,245.73189881454277,245.02823393397162
dintin_VOT55_F0248,0.13977175182765222,247.4449005963206,247.1855087990339,246.85354803606307,246.30676516692526,245.64171774267894,244.89528502819613
dintin_VOT60_F0248,0.1349227439227434,247.8843652971728,247.52925951275708,247.12482632833098,246.53952244337836,245.8336182273715,245.07595818150887
dintin_VOT65_F0249,0.13303760639414364,248.21121746466434,247.8755205090226,247.27504290139626,246.50823965201243,245.67181233706475,244.79996960758345
dintin_VOT70_F0249,0.1331029319746122,248.13465763178462,247.74571093220675,247.29441956371093,246.6226448290803,245.81745564673852,244.976508919868
dintin_VOT75_F0249,0.13161704961705034,248.90227046511004,248.29447149172657,247.60193603985473,246.75398908248056,245.83604158650192,244.94000083985915
dintin_VOT80_F0249,0.1312143675069528,248.67334722227443,248.19601220747094,247.591263650983,246.87717140762268,246.06488059044554,245.16678763946229
dintin_VOT85_F0249,0.12925156068977373,248.69483662483674,248.01919567015557,247.30966466677057,246.51056138459617,245.65155061767013,244.70722178834163
dintin_VOT90_F0250,0.12879037622217382,249.31272551512367,248.6909438897587,248.0080811405596,247.23975023069193,246.40733666167316,245.49957207918274
dintin_VOT95_F0250,0.124654180749868,248.9926475602435,248.49473933366082,247.8312071517586,246.99150616642163,246.07066897044197,245.09965467889307
dintin_VOT100_F0250,0.12321156139994827,249.19617172383172,248.54380352453435,247.8238418838484,246.9330886217682,245.94588110034206,244.88996220943278
dintin_VOT105_F0250,0.1189594904753406,249.18678353842859,248.49121907435367,247.7257073410448,246.73976225433648,245.63860213621714,244.49761847120044
dintin_VOT110_F0250,0.11891507821248837,249.59580489954115,248.8426405181481,247.99267965377396,246.97236123022054,245.84819891190557,244.69917552130386
dintin_VOT115_F0250,0.11142058737788574,249.2920247497161,248.7814266076175,247.8461165999433,246.69117021842573,245.52959710653707,244.38620054142135
dintin_VOT120_F0251,0.11142280103820923,249.30344327562543,248.6795895229593,247.95833960749655,246.97546933625995,245.8552391317449,244.7051070585556
dintin_VOT125_F0251,0.10971628443164505,249.60693410225375,248.942601565108,248.1451521073828,247.0028230299237,245.73413417172296,244.51035374423208
dintin_VOT130_F0251,0.10945652768897318,249.9029185945626,249.05658131164193,248.02895096318994,246.89515643798592,245.7125759612105,244.49998469160312
dintin_VOT135_F0251,0.1091031843614445,249.52423641047434,248.59184740890092,247.59937106428424,246.4959314498228,245.31720458378754,244.0362397391948
dintin_VOT140_F0252,0.10523136622506257,250.42389766974685,249.56664201787075,248.62423767595794,247.51469276160051,246.31364383253256,245.0448067288817
dintin_VOT145_F0252,0.10499362438534376,250.21318543258909,249.49369286895478,248.59824244661993,247.59021554812935,246.48063710009714,245.29477436761533
dintin_VOT150_F0252,0.10538860116204773,250.6170606644538,249.74056211076487,248.8131105466651,247.7822217589829,246.67314010767927,245.40275238247787
