filename,NEG_VOT,VOT,VOWEL,F0_quarter,F0_vowel_onset
AE1_1_101_dip_0,--undefined--,0.01506622570395,0.111597076891363,239.307706928448,248.852350355791
AE1_1_101_dip_1,0.079164879164879,0.01527023940693,0.116140641646808,248.12057942798,257.583054142524
AE1_1_101_dip_2,0.055251433906896,0.013521231854565,0.114498129736225,227.490672158426,229.830202041139
AE1_1_101_dip_3,--undefined--,0.015565708488909,0.135866547746919,228.518534985305,229.449322813766
AE1_1_101_dip_4,0.102883762200532,0.0157686392143,0.109580669591348,229.394300620182,229.236120656898
AE1_1_101_dip_5,--undefined--,0.014005212173486,0.136384884244485,238.845494574504,243.238371287613
AE1_1_101_dip_6,0.119393424036282,0.013895402881649,0.112834955928542,234.28601438249,235.466563118373
AE1_1_101_dip_7,--undefined--,0.014904890370729,0.118626609185616,235.384279166792,237.495760137177
AE1_1_101_dip_8,--undefined--,0.014749675594536,0.115200490826808,242.461203806981,241.312610960487
AE1_1_101_dip_9,--undefined--,0.020153895118708,0.09649152087788,246.963361181785,245.261412476463
AE1_2_101_tip_0,--undefined--,0.085745168774581,0.102732666804095,263.063300173799,263.596730340526
AE1_2_101_tip_1,--undefined--,0.062829980766963,0.096171476958984,256.375726574641,254.905322627962
AE1_2_101_tip_2,--undefined--,0.068785125287012,0.103480612244898,263.71132289147,258.90932608689
AE1_2_101_tip_3,--undefined--,0.068691192467979,0.105053981277195,268.591299246959,261.992354333468
AE1_2_101_tip_4,--undefined--,0.059717202756716,0.108972837361895,274.057692736602,271.148588744212
AE1_2_101_tip_5,--undefined--,0.042889387256734,0.098966378859236,288.234878353566,281.209843298822
AE1_2_101_tip_6,--undefined--,0.068767951625095,0.116240817794216,252.473212603567,251.213734957124
AE1_2_101_tip_7,--undefined--,0.054342261264123,0.122588774839844,261.598236021043,262.757377057076
AE1_2_101_tip_8,--undefined--,0.057206370388256,0.116148445668228,270.153555285984,269.132219131585
AE1_2_101_tip_9,--undefined--,0.059525586452904,0.10320395179689,253.878998801102,255.90044709305
AE1_3_102_dill_0,--undefined--,0.01978102254888,0.201641772791879,249.097057427622,254.450959833076
AE1_3_102_dill_1,--undefined--,0.020694987214744,0.241229322739123,246.556689733994,253.882682741898
AE1_3_102_dill_2,--undefined--,0.016900142773158,0.216845888972873,239.02627312397,239.560799708606
AE1_3_102_dill_3,0.092028263686427,0.020298169328781,0.207804192681399,236.233628090506,240.934963852616
AE1_3_102_dill_4,0.076376348519206,0.019014353816333,0.212612252381701,247.567324074647,240.690654672337
AE1_3_102_dill_5,--undefined--,0.01907287594031,0.217233238580091,247.911091976038,244.19745241861
