filename,vowel,f0_5ms_into_vowel,f0_10ms_into_vowel
dilltill_VOT-90_F0243,0.10515841740787935,243.07514516280145,242.82729812021302
dilltill_VOT-80_F0243,0.10834992757953499,243.19463454098238,242.87592472264885
dilltill_VOT-70_F0244,0.11165529264302698,243.53181774554295,243.52850872639254
dilltill_VOT-60_F0244,0.11482527765878436,243.8808946134838,243.71557473059545
dilltill_VOT-5_F0246,0.10842427105522345,245.55683255521296,245.3017216825944
dilltill_VOT-50_F0244,0.11158920039076348,243.9107007254044,243.7291090574367
dilltill_VOT-40_F0245,0.11240667002244509,243.94815824238034,244.03257434993165
dilltill_VOT-30_F0245,0.10914688708510312,244.30481607258108,244.2014049119708
dilltill_VOT-25_F0245,0.10942030961078597,244.35716617997255,244.2215189733574
dilltill_VOT-20_F0245,0.1051840147216252,245.35906337224665,245.17916227339015
dilltill_VOT-15_F0246,0.10721971149224441,245.38789473487316,245.20348110248682
dilltill_VOT-10_F0246,0.11223682345989605,245.45780612501142,245.29853695063332
dilltill_VOT-100_F0242,0.11091695053837292,242.28709573968197,242.04050621752845
dilltill_VOT95_F0250,0.08374230857403031,249.3605036663976,249.08889128414256
dilltill_VOT90_F0250,0.08383257044189385,249.1559571778594,248.82902412982705
dilltill_VOT85_F0249,0.08254930099115398,249.03384756041436,248.6046166121638
dilltill_VOT80_F0249,0.08725161537969583,248.82985019058734,248.5357078412929
dilltill_VOT75_F0249,0.08479473830348283,248.55675043703005,248.27770669985995
dilltill_VOT70_F0249,0.09183483045728025,248.21458263371517,248.02385081573541
dilltill_VOT65_F0249,0.0885336839006321,247.98841079372622,247.8227027754941
dilltill_VOT60_F0248,0.09497557862433581,247.97202245975123,247.71521104890303
dilltill_VOT5_F0246,0.10996073181187072,245.9103859694349,245.62016706592567
dilltill_VOT55_F0248,0.09453664700691533,247.6556308426438,247.50319699429176
dilltill_VOT50_F0248,0.09871422168671806,247.59750472588178,247.4912724393542
dilltill_VOT45_F0248,0.09675554636269013,247.62607415237073,247.435768164754
dilltill_VOT40_F0248,0.10207982028383711,246.99513002966717,246.84367224164325
dilltill_VOT35_F0247,0.10205690725708472,246.4158990489234,246.27387861780377
dilltill_VOT30_F0247,0.10257888407888416,246.4336356152299,246.25344989912728
dilltill_VOT25_F0247,0.10442468788281722,246.71850120027662,246.3839124553488
dilltill_VOT20_F0247,0.1014670543660543,246.42518117977434,246.09970723118767
dilltill_VOT15_F0247,0.11020294986905199,246.46477027008655,246.20813699714455
dilltill_VOT10_F0247,0.1074024130470086,246.65281883814652,246.26366098208592
dilltill_VOT100_F0250,0.07552547035814783,249.6159963067528,249.33453788364807
dilltill_VOT0_F0246,0.10886131066033755,245.6759243214152,245.39244069343982
dilltill_VOT105_F0250,0.07587995200832864,249.4382441137524,249.13421491473676
dimtim_VOT145_F0252,0.09837991996910134,251.34786416392944,251.07186240564582
dilltill_VOT150_F0252,0.06305549875772343,251.78310495069906,251.25451623621032
dilltill_VOT145_F0252,0.0630321114175949,251.4272061681333,251.08660350220308
dilltill_VOT140_F0252,0.06172009895784214,251.4097689777597,251.07835851783508
dilltill_VOT135_F0251,0.0647090465888347,250.81880007133742,250.46365300387254
dilltill_VOT130_F0251,0.06606499404941246,250.96630634855626,250.5355205296449
dilltill_VOT125_F0251,0.06730919555491255,250.52479849478127,250.23034031199882
dilltill_VOT120_F0251,0.07131218473783818,250.1895451271665,249.88845235836624
dilltill_VOT115_F0250,0.0723258854608062,249.72160003880055,249.42430385680288
dilltill_VOT110_F0250,0.07486707235262458,249.4342533475082,249.19645701764532
