filename,vowel,f0_5ms_into_vowel,f0_10ms_into_vowel,f0_15ms_into_vowel,f0_20ms_into_vowel,f0_25ms_into_vowel,f0_30ms_into_vowel
dimtim_VOT0_F0246,0.14687414130414783,246.13743765976275,246.2966144188885,246.4643327420551,246.65032574912152,246.84860218054058,247.0604584985482
dimtim_VOT5_F0246,0.14799371684501827,246.31654400975992,246.4596271795703,246.62379117181126,246.79378901800172,246.9666346989357,247.15190264400903
dimtim_VOT10_F0247,0.15097574978484696,247.1613333156176,247.1160200183864,247.16205071539116,247.23523307230755,247.3223949728312,247.44557171804598
dimtim_VOT15_F0247,0.14449041850905076,246.6489479484794,246.83509924760568,247.0177619516961,247.19760745221336,247.36657196797242,247.52994684512782
dimtim_VOT20_F0247,0.1446036241723938,247.0110414561534,247.20071694790826,247.34937812788954,247.4584751743975,247.57486245233727,247.71325157792992
dimtim_VOT25_F0247,0.14554923117005591,247.17874865957245,247.14106850385397,247.12792469998098,247.12788116337077,247.12715169271172,247.12465043350255
dimtim_VOT30_F0247,0.14571028585973478,246.9182322836102,246.99149823235453,247.0315256455925,247.05987197727305,247.08227901725505,247.1026742929183
dimtim_VOT35_F0247,0.13569138706237638,247.396656282636,247.44899589899194,247.49252467674333,247.53293213856458,247.57294146221753,247.62812824207825
dimtim_VOT40_F0248,0.1311950912408344,247.3266267150762,247.37544235763687,247.43145537672447,247.5170789997686,247.6101183501861,247.6818026281269
dimtim_VOT45_F0248,0.13447436752478836,247.90948890654957,248.0732223061584,248.06939276035854,248.01737512533933,247.98441798812223,247.96461510029206
dimtim_VOT50_F0248,0.13422342990579228,248.1451381113983,248.15898179868125,248.1065512489468,248.04186774159112,248.01526364867573,248.01078582514316
dimtim_VOT55_F0248,0.13486105779824964,248.55300738406214,248.3660602024089,248.1611095416085,247.97569086621098,247.83008958488838,247.68911639726903
dimtim_VOT60_F0248,0.13134049354223976,248.44780934237946,248.26499096778952,248.0933500572714,247.92790022716824,247.76724685310924,247.60954584562262
