filename,NEG_VOT,VOT,VOWEL,F0_quarter,F0_vowel_onset
AE1_1_101_dip_0,0.05532904201107,0.016581457515256,0.129089005750628,261.51320627258,257.700021563285
AE1_1_101_dip_1,0.09912363206152,0.022702076765666,0.127380031346396,272.069191279712,266.179127196226
AE1_1_101_dip_2,0.093368377654092,0.017740948679191,0.114716276635177,256.81236872864,254.700915268823
AE1_1_101_dip_3,--undefined--,0.016360645319699,0.112050163448253,275.117753286584,138.268021268812
AE1_1_101_dip_4,--undefined--,0.012414561790724,0.115650622556626,336.723711773045,340.41263616471
AE1_2_101_tip_0,--undefined--,0.067083221699166,0.102162011706615,324.391861825619,303.99071983585
AE1_2_101_tip_1,--undefined--,0.058120892025416,0.124270576639344,326.094148116524,301.381596288393
AE1_2_101_tip_2,--undefined--,0.047877031398277,0.138393475487516,312.735794253716,309.674007909611
AE1_2_101_tip_3,--undefined--,0.055807676312987,0.160829665110069,313.91723196413,309.487656617396
AE1_2_101_tip_4,--undefined--,0.052421428571428,0.119594327466437,324.770950507694,301.679610251492
AE1_3_102_dill_0,0.077678700267986,0.019077941056663,0.219924915321398,259.595666297061,253.20352613332
AE1_3_102_dill_1,0.110014172335601,0.018974726192771,0.217586430608258,266.862605680309,256.266861104718
AE1_3_102_dill_2,0.092292741303388,0.024135233141874,0.248815912872462,256.850134934673,253.174764638845
AE1_3_102_dill_3,--undefined--,0.022941264481278,0.280607219105966,296.3559606823,278.630048125784
AE1_3_102_dill_4,--undefined--,0.019688486242312,0.275273900828919,262.492549843011,258.180491422262
AE1_4_102_till_0,--undefined--,0.084131100980073,0.251309642600206,288.422745824887,289.432833266851
AE1_4_102_till_1,--undefined--,0.076132669699607,0.214454080639278,276.097175560714,270.930574983562
AE1_4_102_till_2,--undefined--,0.065967963253677,0.175543966299486,280.59385651616,271.777547432729
AE1_4_102_till_3,--undefined--,0.066776737420417,0.235151478520878,305.526371609002,289.315360187374
AE1_4_102_till_4,--undefined--,0.087567322749154,0.257177387453977,283.476161064344,276.539191542967
AE1_5_103_din_0,--undefined--,0.01754954156403,0.17010376645417,261.322987074345,257.358108169462
AE1_5_103_din_1,0.083921300404219,0.013544212569682,0.186632571998166,256.261851084865,248.916056764915
AE1_5_103_din_2,0.103303099017385,0.011868611059613,0.203697568498631,251.461015157477,230.590454336031
AE1_5_103_din_3,--undefined--,0.020483925237363,0.136247647045229,239.599058001006,236.682045030133
AE1_5_103_din_4,0.090502097779529,0.015566251558262,0.177924777144513,254.338027776813,247.781320804014
AE1_6_103_tin_0,--undefined--,0.072414280345145,0.14912224184431,320.247261084373,307.164203796582
AE1_6_103_tin_1,--undefined--,0.067170704539127,0.157586881034785,292.095356291919,277.114367627445
AE1_6_103_tin_2,--undefined--,0.078896795605386,0.165855519284772,319.071205890004,305.745727793993
AE1_6_103_tin_3,--undefined--,0.073309021525278,0.162838504804716,307.479963481806,286.244234578665
AE1_6_103_tin_4,--undefined--,0.073918788733975,0.160290615137766,317.348371364052,310.468610265363
AE1_7_104_dim_0,--undefined--,0.022040094249571,0.156782319523945,297.042003560307,294.373947881824
AE1_7_104_dim_1,--undefined--,0.01945163562748,0.144462721509587,292.621975728456,284.119921072445
AE1_7_104_dim_2,0.074512711143189,0.017832949410394,0.187697594534857,263.012902206222,263.623686603789
AE1_7_104_dim_3,--undefined--,0.01377668727849,0.168127911649918,284.349249698461,275.881549596261
AE1_7_104_dim_4,0.049249146259975,0.016924825708696,0.16776645093999,277.926635874575,271.544788652361
AE1_8_104_tim_0,--undefined--,0.071326013627257,0.146092908749857,343.221125847599,336.200420755618
AE1_8_104_tim_1,--undefined--,0.075363577795251,0.153085156913974,303.000933289335,295.678633913979
AE1_8_104_tim_2,--undefined--,0.067606545592049,0.131388419576929,313.89298712096,301.881356416345
AE1_8_104_tim_3,--undefined--,0.061049725315595,0.136490557590559,308.406158996616,296.473929879984
AE1_8_104_tim_4,--undefined--,0.074459116528569,0.128699850834405,312.319448368047,301.082498965402
