workerid,proliferate.condition,preloadResp,error
63,Shift40_fwd_B_A,805;182;156;170;176;168;178;164;179;166;167;179;161;174;182;167;166;193;162;184;164;179;172;179;192;204;243;180;178;182;175;176;164;178;185;174;172;187;205;178;171;170;177;180;174;166;153;200;182;170;171;184;180;169;179;255;178;185;174;179;186;172;180;163;168;208;171;174;183;170;203;229;166;243;1038;303;205;207;180;170;171;172;181;174;178;172;169;181;170;179;,
52,Shift0_bwd_B_A,682;417;268;173;147;191;149;190;146;188;152;188;148;189;148;191;149;186;147;149;189;192;148;188;148;164;173;146;417;268;149;158;179;192;148;191;148;191;193;148;192;150;187;149;182;149;146;147;161;144;174;148;189;147;149;414;268;150;189;145;145;162;167;147;148;193;191;142;148;160;172;151;185;156;188;148;186;147;191;148;190;152;421;270;187;153;148;,
