workerid,proliferate.condition,participant_id,error
63,Shift40_fwd_B_A,1fb7ccea-2f27-4051-adeb-562f71322aad,
52,Shift0_bwd_B_A,5bd65b00-260d-4304-b62c-32f1a3735920,
