workerid,proliferate.condition,exposure6Resp,error
63,Shift40_fwd_B_A,"exposure6,false,0,16,stimuli/exposure/diptip_VOT65_F0249.wav,dip,forward,false,1,tip,topright,629,116,1652001430835,1652001432214,1379;exposure6,false,1,8,stimuli/exposure/dintin_VOT40_F0248.wav,din,forward,false,3,din,topleft,134,117,1652001434223,1652001435565,1342;exposure6,false,2,29,stimuli/exposure/diptip_VOT100_F0250.wav,tip,forward,false,1,tip,topright,606,125,1652001437544,1652001439018,1474;exposure6,false,3,36,stimuli/exposure/rare.wav,rare,forward,false,2,rare,topright,616,111,1652001441067,1652001442311,1244;exposure6,false,4,9,stimuli/exposure/dintin_VOT45_F0248.wav,din,forward,false,2,din,topleft,172,125,1652001444625,1652001446057,1432;exposure6,false,5,5,stimuli/exposure/dilltill_VOT55_F0248.wav,dill,forward,false,2,dill,topleft,152,103,1652001448064,1652001450977,2913;exposure6,false,6,19,stimuli/exposure/dilltill_VOT115_F0250.wav,till,forward,false,1,till,topright,637,130,1652001452955,1652001454512,1557;exposure6,false,7,27,stimuli/exposure/dintin_VOT90_F0250.wav,tin,forward,false,3,tin,topright,632,102,1652001456455,1652001457936,1481;exposure6,false,8,37,stimuli/exposure/share.wav,share,forward,false,2,share,topleft,192,119,1652001460175,1652001461592,1417;exposure6,false,9,5,stimuli/exposure/dilltill_VOT55_F0248.wav,dill,forward,false,2,dill,topleft,156,107,1652001463815,1652001466554,2739;exposure6,false,10,8,stimuli/exposure/dintin_VOT40_F0248.wav,din,forward,false,3,din,topleft,167,124,1652001468629,1652001470350,1721;exposure6,false,11,20,stimuli/exposure/dilltill_VOT55_F0248.wav,till,forward,false,1,dill,topleft,167,103,1652001472329,1652001475741,3412;exposure6,false,12,14,stimuli/exposure/diptip_VOT45_F0248.wav,dip,forward,false,2,dip,topleft,158,132,1652001477673,1652001479099,1426;exposure6,false,13,30,stimuli/exposure/diptip_VOT110_F0250.wav,tip,forward,false,2,tip,topright,600,110,1652001481059,1652001482340,1281;exposure6,false,14,7,stimuli/exposure/dintin_VOT35_F0247.wav,din,forward,false,1,din,topleft,152,115,1652001484265,1652001485696,1431;exposure6,false,15,28,stimuli/exposure/dintin_VOT95_F0250.wav,tin,forward,false,1,tin,topright,609,107,1652001487671,1652001489158,1487;exposure6,false,16,25,stimuli/exposure/dintin_VOT65_F0249.wav,tin,forward,false,1,tin,topright,572,112,1652001492035,1652001493484,1449;exposure6,false,17,37,stimuli/exposure/share.wav,share,forward,false,2,share,topleft,166,104,1652001495473,1652001496698,1225;exposure6,false,18,4,stimuli/exposure/dilltill_VOT50_F0248.wav,dill,forward,false,1,dill,topleft,119,115,1652001498716,1652001500560,1844;exposure6,false,19,2,stimuli/exposure/dilltill_VOT40_F0248.wav,dill,forward,false,2,dill,topleft,161,105,1652001502841,1652001504112,1271;exposure6,false,20,18,stimuli/exposure/dilltill_VOT110_F0250.wav,till,forward,false,2,till,topright,635,115,1652001506647,1652001508224,1577;exposure6,false,21,15,stimuli/exposure/diptip_VOT50_F0248.wav,dip,forward,false,2,dip,topleft,143,107,1652001510241,1652001511650,1409;exposure6,false,22,34,stimuli/exposure/diptip_VOT80_F0249.wav,tip,forward,false,1,tip,topright,602,110,1652001513715,1652001515258,1543;exposure6,false,23,12,stimuli/exposure/diptip_VOT35_F0247.wav,dip,forward,false,1,dip,topleft,140,131,1652001517365,1652001518782,1417;exposure6,false,24,11,stimuli/exposure/diptip_VOT30_F0247.wav,dip,forward,false,1,dip,topleft,148,128,1652001520739,1652001522024,1285;exposure6,false,25,31,stimuli/exposure/diptip_VOT120_F0251.wav,tip,forward,false,1,tip,topright,607,112,1652001523977,1652001525344,1367;exposure6,false,26,0,stimuli/exposure/dilltill_VOT25_F0247.wav,dill,forward,false,1,dill,topleft,154,127,1652001527321,1652001528678,1357;exposure6,false,27,33,stimuli/exposure/diptip_VOT70_F0249.wav,tip,forward,false,2,tip,topright,616,135,1652001530693,1652001532122,1429;exposure6,false,28,23,stimuli/exposure/dintin_VOT100_F0250.wav,tin,forward,false,1,tin,topright,622,122,1652001534246,1652001535616,1370;exposure6,false,29,17,stimuli/exposure/dilltill_VOT105_F0250.wav,till,forward,false,2,till,topright,623,117,1652001537764,1652001539325,1561;exposure6,false,30,35,stimuli/exposure/flare.wav,flare,forward,false,2,flare,topright,577,107,1652001541319,1652001542723,1404;exposure6,false,31,10,stimuli/exposure/dintin_VOT50_F0248.wav,din,forward,false,1,din,topleft,156,121,1652001544658,1652001546492,1834;exposure6,false,32,2,stimuli/exposure/dilltill_VOT40_F0248.wav,dill,forward,false,2,dill,topleft,155,112,1652001548375,1652001549796,1421;exposure6,false,33,15,stimuli/exposure/diptip_VOT50_F0248.wav,dip,forward,false,2,dip,topleft,153,111,1652001551823,1652001553894,2071;exposure6,false,34,21,stimuli/exposure/dilltill_VOT80_F0249.wav,till,forward,false,1,till,topright,625,102,1652001555833,1652001557364,1531;exposure6,false,35,9,stimuli/exposure/dintin_VOT45_F0248.wav,din,forward,false,2,din,topleft,153,117,1652001559469,1652001560854,1385;exposure6,false,36,3,stimuli/exposure/dilltill_VOT45_F0248.wav,dill,forward,false,1,dill,topleft,152,114,1652001562857,1652001564244,1387;exposure6,false,37,32,stimuli/exposure/diptip_VOT45_F0248.wav,tip,forward,false,1,dip,topleft,108,92,1652001566189,1652001567486,1297;exposure6,false,38,27,stimuli/exposure/dintin_VOT90_F0250.wav,tin,forward,false,3,tin,topright,592,107,1652001569721,1652001571302,1581;exposure6,false,39,36,stimuli/exposure/rare.wav,rare,forward,false,2,rare,topright,578,122,1652001573476,1652001574696,1220;exposure6,false,40,8,stimuli/exposure/dintin_VOT40_F0248.wav,din,forward,false,3,din,topleft,158,120,1652001576709,1652001578142,1433;exposure6,false,41,18,stimuli/exposure/dilltill_VOT110_F0250.wav,till,forward,false,2,till,topright,630,117,1652001580047,1652001581462,1415;exposure6,false,42,6,stimuli/exposure/dintin_VOT30_F0247.wav,din,forward,false,1,din,topleft,152,118,1652001583520,1652001584850,1330;exposure6,false,43,17,stimuli/exposure/dilltill_VOT105_F0250.wav,till,forward,false,2,till,topright,611,111,1652001587353,1652001588822,1469;exposure6,false,44,24,stimuli/exposure/dintin_VOT120_F0251.wav,tin,forward,false,1,tin,topright,612,107,1652001590900,1652001592324,1424;exposure6,false,45,14,stimuli/exposure/diptip_VOT45_F0248.wav,dip,forward,false,2,dip,topleft,155,120,1652001594237,1652001595542,1305;exposure6,false,46,26,stimuli/exposure/dintin_VOT75_F0249.wav,tin,forward,false,1,tin,topright,607,122,1652001597609,1652001599054,1445;exposure6,false,47,13,stimuli/exposure/diptip_VOT40_F0248.wav,dip,forward,false,1,dip,topleft,159,126,1652001601017,1652001602590,1573;exposure6,false,48,22,stimuli/exposure/dilltill_VOT85_F0249.wav,till,forward,false,1,till,topright,632,121,1652001604683,1652001606228,1545;exposure6,false,49,35,stimuli/exposure/flare.wav,flare,forward,false,2,flare,topright,622,104,1652001608239,1652001609768,1529;exposure6,false,50,27,stimuli/exposure/dintin_VOT90_F0250.wav,tin,forward,false,3,tin,topright,605,107,1652001611825,1652001613362,1537;exposure6,false,51,1,stimuli/exposure/dilltill_VOT30_F0247.wav,dill,forward,false,1,dill,topleft,150,110,1652001615719,1652001617178,1459;exposure6,false,52,30,stimuli/exposure/diptip_VOT110_F0250.wav,tip,forward,false,2,tip,topright,607,124,1652001619765,1652001621232,1467;exposure6,false,53,33,stimuli/exposure/diptip_VOT70_F0249.wav,tip,forward,false,2,tip,topright,619,103,1652001623211,1652001624500,1289;",
52,Shift0_bwd_B_A,"exposure6,false,0,11,stimuli/exposure/diptip_VOT-10_F0246.wav,dip,backward,false,1,dip,topright,626,122,1651847403819,1651847404882,1063;exposure6,false,1,35,stimuli/exposure/flare.wav,flare,backward,false,2,flare,topleft,190,142,1651847406937,1651847407810,873;exposure6,false,2,5,stimuli/exposure/dilltill_VOT5_F0246.wav,dill,backward,false,1,dill,topright,615,133,1651847409948,1651847410834,886;exposure6,false,3,16,stimuli/exposure/diptip_VOT5_F0246.wav,dip,backward,false,2,dip,topright,616,124,1651847412953,1651847413778,825;exposure6,false,4,36,stimuli/exposure/rare.wav,rare,backward,false,2,rare,topleft,135,137,1651847415835,1651847416522,687;exposure6,false,5,37,stimuli/exposure/share.wav,share,backward,false,2,share,topright,593,130,1651847418690,1651847419346,656;exposure6,false,6,14,stimuli/exposure/diptip_VOT10_F0247.wav,dip,backward,false,2,dip,topright,617,128,1651847421561,1651847422706,1145;exposure6,false,7,25,stimuli/exposure/dintin_VOT50_F0248.wav,tin,backward,false,3,tin,topleft,171,152,1651847424972,1651847425658,686;exposure6,false,8,20,stimuli/exposure/dilltill_VOT65_F0249.wav,till,backward,false,2,till,topleft,179,156,1651847427851,1651847428618,767;exposure6,false,9,14,stimuli/exposure/diptip_VOT10_F0247.wav,dip,backward,false,2,dip,topright,600,132,1651847430859,1651847431874,1015;exposure6,false,10,33,stimuli/exposure/diptip_VOT70_F0249.wav,tip,backward,false,2,tip,topleft,184,157,1651847434170,1651847434970,800;exposure6,false,11,29,stimuli/exposure/diptip_VOT30_F0247.wav,tip,backward,false,2,dip,topright,563,140,1651847437339,1651847438218,879;exposure6,false,12,37,stimuli/exposure/share.wav,share,backward,false,2,share,topright,614,98,1651847440307,1651847441145,838;exposure6,false,13,9,stimuli/exposure/dintin_VOT10_F0247.wav,din,backward,false,1,din,topright,586,151,1651847443354,1651847444146,792;exposure6,false,14,7,stimuli/exposure/dintin_VOT-5_F0246.wav,din,backward,false,1,din,topright,648,131,1651847446306,1651847447066,760;exposure6,false,15,18,stimuli/exposure/dilltill_VOT40_F0248.wav,till,backward,false,1,till,topleft,149,125,1651847449259,1651847450018,759;exposure6,false,16,12,stimuli/exposure/diptip_VOT-5_F0246.wav,dip,backward,false,1,dip,topright,602,129,1651847452042,1651847452970,928;exposure6,false,17,10,stimuli/exposure/dintin_VOT5_F0246.wav,din,backward,false,2,din,topright,640,121,1651847455048,1651847455842,794;exposure6,false,18,25,stimuli/exposure/dintin_VOT50_F0248.wav,tin,backward,false,3,tin,topleft,174,142,1651847458003,1651847458801,798;exposure6,false,19,2,stimuli/exposure/dilltill_VOT0_F0246.wav,dill,backward,false,2,dill,topright,614,108,1651847460866,1651847461640,774;exposure6,false,20,33,stimuli/exposure/diptip_VOT70_F0249.wav,tip,backward,false,2,tip,topleft,101,122,1651847463761,1651847464449,688;exposure6,false,21,21,stimuli/exposure/dilltill_VOT70_F0249.wav,till,backward,false,2,till,topleft,141,125,1651847466644,1651847467377,733;exposure6,false,22,19,stimuli/exposure/dilltill_VOT45_F0248.wav,till,backward,false,1,till,topleft,105,117,1651847469586,1651847470441,855;exposure6,false,23,24,stimuli/exposure/dintin_VOT35_F0247.wav,tin,backward,false,1,din,topright,612,145,1651847472601,1651847473394,793;exposure6,false,24,0,stimuli/exposure/dilltill_VOT-10_F0246.wav,dill,backward,false,1,dill,topright,630,107,1651847475689,1651847476537,848;exposure6,false,25,2,stimuli/exposure/dilltill_VOT0_F0246.wav,dill,backward,false,2,dill,topright,621,103,1651847478802,1651847479553,751;exposure6,false,26,4,stimuli/exposure/dilltill_VOT15_F0247.wav,dill,backward,false,2,dill,topright,641,135,1651847482002,1651847482962,960;exposure6,false,27,8,stimuli/exposure/dintin_VOT0_F0246.wav,din,backward,false,3,din,topright,598,140,1651847485194,1651847486049,855;exposure6,false,28,6,stimuli/exposure/dintin_VOT-10_F0246.wav,din,backward,false,1,din,topright,618,133,1651847488226,1651847488938,712;exposure6,false,29,30,stimuli/exposure/diptip_VOT40_F0248.wav,tip,backward,false,1,tip,topleft,181,152,1651847491178,1651847492354,1176;exposure6,false,30,26,stimuli/exposure/dintin_VOT55_F0248.wav,tin,backward,false,1,tin,topleft,150,128,1651847494616,1651847495473,857;exposure6,false,31,22,stimuli/exposure/dilltill_VOT75_F0249.wav,till,backward,false,1,till,topleft,158,143,1651847497617,1651847498489,872;exposure6,false,32,27,stimuli/exposure/dintin_VOT60_F0248.wav,tin,backward,false,1,tin,topleft,158,149,1651847500786,1651847501697,911;exposure6,false,33,3,stimuli/exposure/dilltill_VOT10_F0247.wav,dill,backward,false,1,dill,topright,641,145,1651847503754,1651847504937,1183;exposure6,false,34,4,stimuli/exposure/dilltill_VOT15_F0247.wav,dill,backward,false,2,dill,topright,599,135,1651847507090,1651847507833,743;exposure6,false,35,8,stimuli/exposure/dintin_VOT0_F0246.wav,din,backward,false,3,din,topright,547,137,1651847510009,1651847510865,856;exposure6,false,36,15,stimuli/exposure/diptip_VOT25_F0247.wav,dip,backward,false,1,dip,topright,602,146,1651847513329,1651847514305,976;exposure6,false,37,16,stimuli/exposure/diptip_VOT5_F0246.wav,dip,backward,false,2,dip,topright,629,119,1651847516575,1651847517489,914;exposure6,false,38,8,stimuli/exposure/dintin_VOT0_F0246.wav,din,backward,false,3,din,topright,562,128,1651847519690,1651847520377,687;exposure6,false,39,32,stimuli/exposure/diptip_VOT60_F0248.wav,tip,backward,false,1,tip,topleft,86,105,1651847522386,1651847523177,791;exposure6,false,40,36,stimuli/exposure/rare.wav,rare,backward,false,2,rare,topleft,152,141,1651847525226,1651847525849,623;exposure6,false,41,35,stimuli/exposure/flare.wav,flare,backward,false,2,flare,topleft,187,130,1651847527930,1651847528713,783;exposure6,false,42,29,stimuli/exposure/diptip_VOT30_F0247.wav,tip,backward,false,2,tip,topleft,140,161,1651847530730,1651847532161,1431;exposure6,false,43,28,stimuli/exposure/dintin_VOT80_F0249.wav,tin,backward,false,1,tin,topleft,198,159,1651847534433,1651847535369,936;exposure6,false,44,17,stimuli/exposure/dilltill_VOT15_F0247.wav,till,backward,false,1,dill,topright,559,115,1651847537530,1651847538551,1021;exposure6,false,45,1,stimuli/exposure/dilltill_VOT-15_F0246.wav,dill,backward,false,1,dill,topright,627,141,1651847540697,1651847541609,912;exposure6,false,46,21,stimuli/exposure/dilltill_VOT70_F0249.wav,till,backward,false,2,till,topleft,128,146,1651847543856,1651847544521,665;exposure6,false,47,31,stimuli/exposure/diptip_VOT5_F0246.wav,tip,backward,false,1,dip,topright,564,123,1651847546794,1651847547480,686;exposure6,false,48,20,stimuli/exposure/dilltill_VOT65_F0249.wav,till,backward,false,2,till,topleft,102,162,1651847549730,1651847550585,855;exposure6,false,49,10,stimuli/exposure/dintin_VOT5_F0246.wav,din,backward,false,2,din,topright,606,123,1651847552770,1651847553544,774;exposure6,false,50,13,stimuli/exposure/diptip_VOT0_F0246.wav,dip,backward,false,1,dip,topright,612,125,1651847555634,1651847556521,887;exposure6,false,51,34,stimuli/exposure/diptip_VOT80_F0249.wav,tip,backward,false,1,tip,topleft,156,167,1651847558697,1651847559313,616;exposure6,false,52,23,stimuli/exposure/dintin_VOT25_F0247.wav,tin,backward,false,1,din,topright,550,147,1651847561634,1651847562879,1245;exposure6,false,53,25,stimuli/exposure/dintin_VOT50_F0248.wav,tin,backward,false,3,tin,topleft,166,157,1651847565185,1651847565905,720;",
