session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,Nationality,Sex,Student Status
628841f075f167ed216b19e1,5999a1096b939900012da1c7,RETURNED,2022-05-21 01:35:54.157000,,220029.938596,36,1222,5,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6288421896308a2eb14ffef6,6105a3ab3439f5af30a3777b,RETURNED,2022-05-21 01:36:27.736000,,219996.370704,25,516,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62884230cb13d9e95fbb73ed,5c5dba4ed86a7f000191e5d5,APPROVED,2022-05-21 01:36:51.400000,2022-05-21 01:55:02.485000,1091.085,58,2251,21,97,2022-05-23 09:00:17.952000,81A407F4,United States,United States,DATA EXPIRED,I only know English,English,United States,Male,No
6288424826f0db168f544e69,6081adb85a8992a84093ed21,APPROVED,2022-05-21 01:37:14.152000,2022-05-21 01:57:56.142000,1241.99,28,525,3,100,2022-05-23 09:00:19.875000,81A407F4,United States,United States,Full-Time,I only know English,English,United States,Male,Yes
62884253769d1c17eb0ccb6f,5e8ea833d4e24915d6880320,APPROVED,2022-05-21 01:37:46.355000,2022-05-21 01:56:40.445000,1134.09,30,1524,0,100,2022-05-23 09:00:20.736000,81A407F4,United States,United States,Part-Time,I only know English,English,United States,Male,No
628842697dd74400a67b8572,5c745295821a97001763fb1b,APPROVED,2022-05-21 01:37:54.031000,2022-05-21 02:15:01.393000,2227.362,60,1617,12,98,2022-05-23 09:00:21.577000,81A407F4,United States,United States,Full-Time,I only know English,English,United States,Female,No
6288426ee9bdf577b3d46247,5ef035131f1b2a546b44c391,RETURNED,2022-05-21 01:37:55.156000,,219909.006011,70,2109,13,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
628842851d7d6b508de85795,5dfe8e7bdc8535b21b18ea2f,RETURNED,2022-05-21 01:44:10.898000,,219533.275011,42,2842,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
628842ab13e4b79782e4a938,5dd1dc9110420023be388e5d,RETURNED,2022-05-21 01:38:54.514000,,219849.67541,45,2262,7,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
628842b63cf4df294adac6af,5dd446ab87c1fd43fbb49aa1,RETURNED,2022-05-21 01:39:39.247000,,219804.953714,51,1549,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
628842ce26f0db168f544e6f,568899d9d7848e0005399c6b,RETURNED,2022-05-21 01:39:34.477000,,219809.734939,40,3487,8,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
628842d2fcb429d61893461b,61523eecd52ec29c4c08d938,APPROVED,2022-05-21 01:39:37.251000,2022-05-21 02:01:33.163000,1315.912,50,728,4,99,2022-05-23 09:00:23.144000,81A407F4,United States,United States,Due to start a new job within the next month,I only know English,English,United States,Female,No
628842d31075c3fc502b3779,5fc50bb38378c80ac88354ef,APPROVED,2022-05-21 01:44:12.850000,2022-05-21 02:26:36.939000,2544.089,64,1873,6,100,2022-05-23 09:00:24.061000,81A407F4,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,United States,Female,No
628842f3f3d7ddb01b35597d,5692e00c8d93fe000efa0459,APPROVED,2022-05-21 01:41:24.678000,2022-05-21 02:12:02.282000,1837.604,41,2710,2,100,2022-05-23 09:00:24.855000,81A407F4,United States,United States,DATA EXPIRED,I only know English,English,United States,Male,No
628843110f283b984d796024,5f985a6faf071810974a32f8,APPROVED,2022-05-21 01:41:00.229000,2022-05-21 02:11:30.789000,1830.56,35,2109,1,100,2022-05-23 09:00:25.742000,81A407F4,United States,United States,DATA EXPIRED,I only know English,English,United States,Male,No
628843140ae9537e5a574559,56ed166d0260df000d2f011d,RETURNED,2022-05-21 01:40:38.861000,,219745.476536,28,1111,12,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
628843336884adc6d2457d5c,5e5080883771350caf2d9fda,APPROVED,2022-05-21 01:43:03.331000,2022-05-21 02:03:19.664000,1216.333,27,2081,1,100,2022-05-23 09:00:26.625000,81A407F4,United States,United States,Full-Time,I only know English,English,United States,Male,No
