filename,target_word,image_selection,feedback,condition,reps,list_LSQ_variant,blockID,block,list,mean,sd,category
stimuli/exposure/dilltill_VOT10_F0247.wav,dill_labeled,forward,false,Shift10,1,A,B,4,A,5,8.94427190999916,/d/
stimuli/exposure/dilltill_VOT20_F0247.wav,dill_labeled,forward,false,Shift10,2,A,B,4,A,5,8.94427190999916,/d/
stimuli/exposure/dilltill_VOT30_F0247.wav,dill_labeled,forward,false,Shift10,1,A,B,4,A,5,8.94427190999916,/d/
stimuli/exposure/dilltill_VOT15_F0247.wav,dill_unlabeled,forward,false,Shift10,3,A,B,4,A,5,8.94427190999916,/d/
stimuli/exposure/dilltill_VOT5_F0246.wav,dill_unlabeled,forward,false,Shift10,1,A,B,4,A,5,8.94427190999916,/d/
stimuli/exposure/dintin_VOT-10_F0246.wav,din_labeled,forward,false,Shift10,1,A,B,4,A,5,8.94427190999916,/d/
stimuli/exposure/dintin_VOT20_F0247.wav,din_labeled,forward,false,Shift10,1,A,B,4,A,5,8.94427190999916,/d/
stimuli/exposure/dintin_VOT5_F0246.wav,din_labeled,forward,false,Shift10,2,A,B,4,A,5,8.94427190999916,/d/
stimuli/exposure/dintin_VOT0_F0246.wav,din_unlabeled,forward,false,Shift10,2,A,B,4,A,5,8.94427190999916,/d/
stimuli/exposure/dintin_VOT10_F0247.wav,din_unlabeled,forward,false,Shift10,1,A,B,4,A,5,8.94427190999916,/d/
stimuli/exposure/dintin_VOT25_F0247.wav,din_unlabeled,forward,false,Shift10,1,A,B,4,A,5,8.94427190999916,/d/
stimuli/exposure/diptip_VOT10_F0247.wav,dip_labeled,forward,false,Shift10,2,A,B,4,A,5,8.94427190999916,/d/
stimuli/exposure/diptip_VOT15_F0247.wav,dip_labeled,forward,false,Shift10,1,A,B,4,A,5,8.94427190999916,/d/
stimuli/exposure/diptip_VOT30_F0247.wav,dip_labeled,forward,false,Shift10,1,A,B,4,A,5,8.94427190999916,/d/
stimuli/exposure/diptip_VOT10_F0247.wav,dip_unlabeled,forward,false,Shift10,1,A,B,4,A,5,8.94427190999916,/d/
stimuli/exposure/diptip_VOT15_F0247.wav,dip_unlabeled,forward,false,Shift10,3,A,B,4,A,5,8.94427190999916,/d/
stimuli/exposure/dilltill_VOT45_F0248.wav,till_labeled,forward,false,Shift10,1,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/dilltill_VOT55_F0248.wav,till_labeled,forward,false,Shift10,1,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/dilltill_VOT60_F0248.wav,till_labeled,forward,false,Shift10,1,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/dilltill_VOT80_F0249.wav,till_labeled,forward,false,Shift10,1,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/dilltill_VOT40_F0248.wav,till_unlabeled,forward,false,Shift10,1,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/dilltill_VOT50_F0248.wav,till_unlabeled,forward,false,Shift10,1,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/dilltill_VOT60_F0248.wav,till_unlabeled,forward,false,Shift10,2,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/dintin_VOT45_F0248.wav,tin_labeled,forward,false,Shift10,1,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/dintin_VOT50_F0248.wav,tin_labeled,forward,false,Shift10,1,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/dintin_VOT55_F0248.wav,tin_labeled,forward,false,Shift10,1,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/dintin_VOT75_F0249.wav,tin_labeled,forward,false,Shift10,1,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/dintin_VOT50_F0248.wav,tin_unlabeled,forward,false,Shift10,1,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/dintin_VOT55_F0248.wav,tin_unlabeled,forward,false,Shift10,1,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/dintin_VOT60_F0248.wav,tin_unlabeled,forward,false,Shift10,2,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/diptip_VOT55_F0248.wav,tip_labeled,forward,false,Shift10,2,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/diptip_VOT70_F0249.wav,tip_labeled,forward,false,Shift10,1,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/diptip_VOT80_F0249.wav,tip_labeled,forward,false,Shift10,1,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/diptip_VOT45_F0248.wav,tip_unlabeled,forward,false,Shift10,1,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/diptip_VOT55_F0248.wav,tip_unlabeled,forward,false,Shift10,3,A,B,4,A,50,16.431676725154983,/t/
stimuli/exposure/flare.wav,flare,forward,false,Shift10,2,A,B,4,A,NA,NA,NA
stimuli/exposure/rare.wav,rare,forward,false,Shift10,2,A,B,4,A,NA,NA,NA
stimuli/exposure/share.wav,share,forward,false,Shift10,2,A,B,4,A,NA,NA,NA
