workerid,proliferate.condition,participant_id,error
273,Shift40_bwd_ExpBlockB,31701b10-fc82-4756-80ba-fd97bce24fc0,
363,Shift40_bwd_ExpBlockB,33606d3f-6241-4187-9dbb-2895a6d71556,
303,Shift40_bwd_ExpBlockB,ac00b967-2032-4eb4-be50-21015b82f1ba,
374,Shift40_bwd_ExpBlockB,b36b77e7-7cc4-4b15-8b73-d0d97e651fa6,
206,Shift40_bwd_ExpBlockB,cfaea388-3174-49e6-98ae-f0ef82f3c100,
297,Shift40_fwd_ExpBlockB,00c45fec-8367-494f-af60-ce419ddace4d,
241,Shift40_fwd_ExpBlockB,18f91d15-9dc1-4766-b8e8-5232709e1a27,
185,Shift40_fwd_ExpBlockB,3cd49d82-bd38-4c2c-9957-6ea1d3ab64aa,
389,Shift40_fwd_ExpBlockB,5443d7d0-9c0e-4679-9850-e2340eb4bbfd,
196,Shift40_fwd_ExpBlockB,5e2be950-18b0-49f0-bd21-ea044f203b46,
279,Shift40_fwd_ExpBlockB,d33ea390-52ae-4fc9-a4de-0a901f910682,
261,Shift10_bwd_ExpBlockB,00660952-73b8-4094-b425-48f29e5cb51f,
271,Shift10_bwd_ExpBlockB,13ab61ee-cfad-4462-88dd-178336937de8,
289,Shift10_bwd_ExpBlockB,2912584e-e34c-44e6-8c16-c5e1ebfd0b22,
331,Shift10_bwd_ExpBlockB,2a9ef921-804b-4b71-b037-d4b89a8e66cc,
361,Shift10_bwd_ExpBlockB,5875d843-8ead-46ff-ad06-ad2c7e3cd037,
195,Shift10_bwd_ExpBlockB,d9c2922b-6b6a-4f72-bc46-21f8416778d2,
315,Shift10_bwd_ExpBlockB,f0d4a828-da34-4409-9be5-ea6cebe8a98b,
165,Shift10_fwd_ExpBlockA,0e483fd2-bb69-421a-9d24-c1217ca212fe,
254,Shift10_fwd_ExpBlockA,32b25e05-c4b0-4cbd-85e8-ac07a8cf1ff5,
330,Shift10_fwd_ExpBlockA,7026f0f7-cb0d-4deb-9b6b-4d3c5f711d73,
306,Shift10_fwd_ExpBlockA,74c11ede-0d53-4a5c-8037-1e977a712f2e,
231,Shift10_fwd_ExpBlockA,9499ad78-4ac8-467e-b5dd-9a31d2cb3617,
319,Shift10_fwd_ExpBlockA,a5d3b38e-2cf6-4248-b370-f2badfbb599e,
353,Shift10_fwd_ExpBlockA,f3b12376-f3fa-4b7d-a1d8-2a8d2320e4e9,
270,Shift10_fwd_ExpBlockA,f94cc854-27ec-44a7-89b4-8756b1283dd7,
193,Shift40_fwd_ExpBlockA,394762af-7327-45cc-9fc9-611a350ea752,
340,Shift40_fwd_ExpBlockA,5e49024a-754c-406f-afeb-56544b0bbaf2,
209,Shift40_fwd_ExpBlockA,7352f7c1-0d49-4671-b047-1c6213c8f5d6,
228,Shift40_fwd_ExpBlockA,a79731f8-4246-494c-80fd-a70131004311,
313,Shift40_fwd_ExpBlockA,ae72a96c-7739-4bbc-aaea-163f9d939047,
204,Shift40_bwd_ExpBlockA,3bef0515-60a2-4a5c-af3f-278ec7d2c884,
277,Shift40_bwd_ExpBlockA,64cc11b1-d8fc-4cf0-96fd-8428b384f497,
269,Shift40_bwd_ExpBlockA,a855608e-67f8-4119-8d1a-cc2d60470170,
220,Shift40_bwd_ExpBlockA,db096d99-d44c-444d-a44c-65ff5c253398,
321,Shift40_bwd_ExpBlockA,e1c94a03-0783-4912-97b7-b5c0d89f1313,
174,Shift40_bwd_ExpBlockC,62af9216-c06a-4a2c-b47e-8468f7633844,
262,Shift40_bwd_ExpBlockC,6f1eab5f-27cb-4b95-9e06-63d72c791417,
372,Shift40_bwd_ExpBlockC,8231bd44-4c47-44c8-a403-4f413addbab0,
359,Shift40_bwd_ExpBlockC,a7318b9a-163a-4123-9f8d-76837bd2be3e,
345,Shift40_bwd_ExpBlockC,defd0488-164d-4cf6-8836-a50b5b257e21,
376,Shift40_bwd_ExpBlockC,fa9245a7-29be-4746-9baf-a20dffc8e8fe,
384,Shift0_fwd_ExpBlockC,01019e0a-4d44-4820-a1e5-0e2bc2dc1754,
176,Shift0_fwd_ExpBlockC,0d3cb965-94fa-4a33-ae71-38bae1b3ba7e,
375,Shift0_fwd_ExpBlockC,43e42e25-9785-4582-a4a7-f897f3414300,
329,Shift0_fwd_ExpBlockC,82c854d1-3b27-4277-ad39-608521d881ab,
181,Shift0_fwd_ExpBlockC,dca8b93b-1a72-4ebb-b56b-5754a1ae9368,
388,Shift0_fwd_ExpBlockC,ee4b9e1b-c1e0-4f3d-bd9e-ec00fb3d2d7a,
154,Shift10_bwd_ExpBlockA,13c6ceb3-96a1-41cf-b0f8-768a5f554459,
327,Shift10_bwd_ExpBlockA,14292172-7df6-41fa-a476-99feaf365e0c,
349,Shift10_bwd_ExpBlockA,8788213d-d54f-4e32-9109-d0e8342c9dc3,
326,Shift10_bwd_ExpBlockA,95be63b6-78a7-4e60-968c-da8d385f8392,
246,Shift10_bwd_ExpBlockA,c5ec5d67-0bfd-4bab-a431-a1469e203798,
229,Shift10_bwd_ExpBlockA,ec1d49b8-04e0-4bbd-a011-1275d97473fa,
282,Shift10_bwd_ExpBlockA,f8eb3e80-ab70-4f50-8f38-cb4c484aa67b,
286,Shift10_bwd_ExpBlockA,f95b459b-7691-4793-98be-7b8f3c96e5b1,
307,Shift0_fwd_ExpBlockA,00b9b01f-bba1-4744-a2c5-3865197b85cc,
336,Shift0_fwd_ExpBlockA,0c7828ab-ff01-418f-947f-4b8fb969eec7,
356,Shift0_fwd_ExpBlockA,7b5aab2f-ee4d-4d3a-8d88-7d20e08e17e0,
256,Shift0_fwd_ExpBlockA,8a712de2-7a9f-4dff-a6f8-07df5c7693ba,
211,Shift0_fwd_ExpBlockA,b01dac1b-fafa-4942-a42b-f6694b2a4f29,
304,Shift0_bwd_ExpBlockC,08f61868-0caf-42b8-8030-3273a5323e15,
233,Shift0_bwd_ExpBlockC,81b7fb9e-a7f6-4a91-ad6a-f7da2d1b3105,
260,Shift0_bwd_ExpBlockC,cf5aac22-0f84-4af9-864b-c9d599681d1f,
357,Shift0_bwd_ExpBlockC,d818dede-e20b-4f11-a9ef-d8f3dd5dabc5,
346,Shift0_bwd_ExpBlockC,dbbe33fc-a82f-48e8-93bb-5ac926637108,
169,Shift0_bwd_ExpBlockC,dfdcfc4b-e441-460f-b6b2-e2d8ac8888a0,
167,Shift10_fwd_ExpBlockC,172faedb-d619-49be-9106-e7269295384d,
238,Shift10_fwd_ExpBlockC,625b0b69-dd57-4f6d-8c7e-1a1179d61287,
203,Shift10_fwd_ExpBlockC,6ffcbe6a-5f65-4d2f-9160-50d496408a35,
281,Shift10_fwd_ExpBlockC,deb08ba1-5028-4d2d-ba38-4d6217661be7,
180,Shift10_fwd_ExpBlockC,e39c58b9-1ae9-4baa-b2bc-7250f8719229,
335,Shift0_bwd_ExpBlockB,292559fd-2f00-420a-bdb6-fb1e73842c8a,
227,Shift0_bwd_ExpBlockB,55208c22-389a-4f73-8f77-c96f64b77c73,
295,Shift0_bwd_ExpBlockB,8b0ccd03-d28b-4707-88cc-c024fe7baa53,
348,Shift0_bwd_ExpBlockB,a4e578a4-1a9d-4831-a639-a5b6c873573c,
201,Shift0_bwd_ExpBlockB,c4391946-fee2-4c23-addd-c5818be140fd,
155,Shift0_bwd_ExpBlockB,dbb3b875-f72f-45fa-8373-ec809029d96f,
187,Shift0_bwd_ExpBlockA,3adc11cd-0655-4476-9d0e-90da6914066d,
251,Shift0_bwd_ExpBlockA,58dae413-d156-4245-8bda-f000c4ea512a,
259,Shift0_bwd_ExpBlockA,6a4ba8f9-da20-43eb-a835-33b7bdace60d,
339,Shift0_bwd_ExpBlockA,9465d100-6929-47a5-bcc4-c55e1e441746,
177,Shift0_bwd_ExpBlockA,e9d15c6c-3649-4ae9-bd6e-b6e8a521629d,
354,Shift0_bwd_ExpBlockA,eee2a4c0-11e2-4cef-a46b-187e7f1e17f8,
317,Shift10_bwd_ExpBlockC,3fcf0e50-ebeb-45b5-a344-4b72500bbe60,
334,Shift10_bwd_ExpBlockC,7f9a9016-47a0-427b-a983-ff7781a5c91d,
392,Shift10_bwd_ExpBlockC,83dc334c-4305-4cc6-8361-94ffc352fa9f,
164,Shift10_bwd_ExpBlockC,8ade2d67-a085-40bd-b886-8f6d7c17ebcd,
175,Shift10_bwd_ExpBlockC,b18c15a7-61aa-4d01-b476-b4599fe6fa49,
156,Shift0_fwd_ExpBlockB,91fc6673-dc36-421e-9bd2-8de60cadc7d3,
347,Shift0_fwd_ExpBlockB,a335a837-9d52-42dd-a30f-501b1b0ae6dc,
245,Shift0_fwd_ExpBlockB,e6742284-23d0-4776-910c-242ca2ca23f0,
