workerid,proliferate.condition,rsrb.age,error
273,Shift40_bwd_ExpBlockB,30,
363,Shift40_bwd_ExpBlockB,27,
303,Shift40_bwd_ExpBlockB,55,
374,Shift40_bwd_ExpBlockB,23,
206,Shift40_bwd_ExpBlockB,27,
297,Shift40_fwd_ExpBlockB,45,
241,Shift40_fwd_ExpBlockB,28,
185,Shift40_fwd_ExpBlockB,26,
389,Shift40_fwd_ExpBlockB,39,
196,Shift40_fwd_ExpBlockB,49,
279,Shift40_fwd_ExpBlockB,23,
261,Shift10_bwd_ExpBlockB,42,
271,Shift10_bwd_ExpBlockB,30,
289,Shift10_bwd_ExpBlockB,22,
331,Shift10_bwd_ExpBlockB,24,
361,Shift10_bwd_ExpBlockB,24,
195,Shift10_bwd_ExpBlockB,48,
315,Shift10_bwd_ExpBlockB,40,
165,Shift10_fwd_ExpBlockA,35,
254,Shift10_fwd_ExpBlockA,42,
330,Shift10_fwd_ExpBlockA,,
306,Shift10_fwd_ExpBlockA,30,
231,Shift10_fwd_ExpBlockA,39,
319,Shift10_fwd_ExpBlockA,24,
353,Shift10_fwd_ExpBlockA,46,
270,Shift10_fwd_ExpBlockA,47,
193,Shift40_fwd_ExpBlockA,46,
340,Shift40_fwd_ExpBlockA,27,
209,Shift40_fwd_ExpBlockA,46,
228,Shift40_fwd_ExpBlockA,53,
313,Shift40_fwd_ExpBlockA,50,
204,Shift40_bwd_ExpBlockA,38,
277,Shift40_bwd_ExpBlockA,52,
269,Shift40_bwd_ExpBlockA,23,
220,Shift40_bwd_ExpBlockA,32,
321,Shift40_bwd_ExpBlockA,23,
174,Shift40_bwd_ExpBlockC,33,
262,Shift40_bwd_ExpBlockC,40,
372,Shift40_bwd_ExpBlockC,20,
359,Shift40_bwd_ExpBlockC,40,
345,Shift40_bwd_ExpBlockC,19,
376,Shift40_bwd_ExpBlockC,31,
384,Shift0_fwd_ExpBlockC,30,
176,Shift0_fwd_ExpBlockC,24,
375,Shift0_fwd_ExpBlockC,22,
329,Shift0_fwd_ExpBlockC,53,
181,Shift0_fwd_ExpBlockC,23,
388,Shift0_fwd_ExpBlockC,45,
154,Shift10_bwd_ExpBlockA,55,
327,Shift10_bwd_ExpBlockA,48,
349,Shift10_bwd_ExpBlockA,33,
326,Shift10_bwd_ExpBlockA,27,
246,Shift10_bwd_ExpBlockA,37,
229,Shift10_bwd_ExpBlockA,26,
282,Shift10_bwd_ExpBlockA,34,
286,Shift10_bwd_ExpBlockA,23,
307,Shift0_fwd_ExpBlockA,60,
336,Shift0_fwd_ExpBlockA,32,
356,Shift0_fwd_ExpBlockA,36,
256,Shift0_fwd_ExpBlockA,35,
211,Shift0_fwd_ExpBlockA,24,
304,Shift0_bwd_ExpBlockC,28,
233,Shift0_bwd_ExpBlockC,25,
260,Shift0_bwd_ExpBlockC,35,
357,Shift0_bwd_ExpBlockC,38,
346,Shift0_bwd_ExpBlockC,41,
169,Shift0_bwd_ExpBlockC,20,
167,Shift10_fwd_ExpBlockC,39,
238,Shift10_fwd_ExpBlockC,21,
203,Shift10_fwd_ExpBlockC,45,
281,Shift10_fwd_ExpBlockC,38,
180,Shift10_fwd_ExpBlockC,53,
335,Shift0_bwd_ExpBlockB,64,
227,Shift0_bwd_ExpBlockB,40,
295,Shift0_bwd_ExpBlockB,59,
348,Shift0_bwd_ExpBlockB,49,
201,Shift0_bwd_ExpBlockB,59,
155,Shift0_bwd_ExpBlockB,58,
187,Shift0_bwd_ExpBlockA,34,
251,Shift0_bwd_ExpBlockA,41,
259,Shift0_bwd_ExpBlockA,46,
339,Shift0_bwd_ExpBlockA,64,
177,Shift0_bwd_ExpBlockA,39,
354,Shift0_bwd_ExpBlockA,27,
317,Shift10_bwd_ExpBlockC,34,
334,Shift10_bwd_ExpBlockC,27,
392,Shift10_bwd_ExpBlockC,49,
164,Shift10_bwd_ExpBlockC,34,
175,Shift10_bwd_ExpBlockC,55,
156,Shift0_fwd_ExpBlockB,,
347,Shift0_fwd_ExpBlockB,24,
245,Shift0_fwd_ExpBlockB,33,
160,Shift0_fwd_ExpBlockB,54,
179,Shift0_fwd_ExpBlockB,36,
205,Shift40_fwd_ExpBlockC,37,
395,Shift40_fwd_ExpBlockC,27,
243,Shift40_fwd_ExpBlockC,38,
390,Shift40_fwd_ExpBlockC,38,
373,Shift40_fwd_ExpBlockC,35,
296,Shift10_fwd_ExpBlockB,28,
232,Shift10_fwd_ExpBlockB,45,
393,Shift10_fwd_ExpBlockB,44,
189,Shift10_fwd_ExpBlockB,44,
338,Shift10_fwd_ExpBlockB,38,
