workerid,proliferate.condition,cond_exp,error
273,Shift40_bwd_ExpBlockB,Shift40,
363,Shift40_bwd_ExpBlockB,Shift40,
303,Shift40_bwd_ExpBlockB,Shift40,
374,Shift40_bwd_ExpBlockB,Shift40,
206,Shift40_bwd_ExpBlockB,Shift40,
297,Shift40_fwd_ExpBlockB,Shift40,
241,Shift40_fwd_ExpBlockB,Shift40,
185,Shift40_fwd_ExpBlockB,Shift40,
389,Shift40_fwd_ExpBlockB,Shift40,
196,Shift40_fwd_ExpBlockB,Shift40,
279,Shift40_fwd_ExpBlockB,Shift40,
261,Shift10_bwd_ExpBlockB,Shift10,
271,Shift10_bwd_ExpBlockB,Shift10,
289,Shift10_bwd_ExpBlockB,Shift10,
331,Shift10_bwd_ExpBlockB,Shift10,
361,Shift10_bwd_ExpBlockB,Shift10,
195,Shift10_bwd_ExpBlockB,Shift10,
315,Shift10_bwd_ExpBlockB,Shift10,
165,Shift10_fwd_ExpBlockA,Shift10,
254,Shift10_fwd_ExpBlockA,Shift10,
330,Shift10_fwd_ExpBlockA,Shift10,
306,Shift10_fwd_ExpBlockA,Shift10,
231,Shift10_fwd_ExpBlockA,Shift10,
319,Shift10_fwd_ExpBlockA,Shift10,
353,Shift10_fwd_ExpBlockA,Shift10,
270,Shift10_fwd_ExpBlockA,Shift10,
193,Shift40_fwd_ExpBlockA,Shift40,
340,Shift40_fwd_ExpBlockA,Shift40,
209,Shift40_fwd_ExpBlockA,Shift40,
228,Shift40_fwd_ExpBlockA,Shift40,
313,Shift40_fwd_ExpBlockA,Shift40,
204,Shift40_bwd_ExpBlockA,Shift40,
277,Shift40_bwd_ExpBlockA,Shift40,
269,Shift40_bwd_ExpBlockA,Shift40,
220,Shift40_bwd_ExpBlockA,Shift40,
321,Shift40_bwd_ExpBlockA,Shift40,
174,Shift40_bwd_ExpBlockC,Shift40,
262,Shift40_bwd_ExpBlockC,Shift40,
372,Shift40_bwd_ExpBlockC,Shift40,
359,Shift40_bwd_ExpBlockC,Shift40,
345,Shift40_bwd_ExpBlockC,Shift40,
376,Shift40_bwd_ExpBlockC,Shift40,
384,Shift0_fwd_ExpBlockC,Shift0,
176,Shift0_fwd_ExpBlockC,Shift0,
375,Shift0_fwd_ExpBlockC,Shift0,
329,Shift0_fwd_ExpBlockC,Shift0,
181,Shift0_fwd_ExpBlockC,Shift0,
388,Shift0_fwd_ExpBlockC,Shift0,
154,Shift10_bwd_ExpBlockA,Shift10,
327,Shift10_bwd_ExpBlockA,Shift10,
349,Shift10_bwd_ExpBlockA,Shift10,
326,Shift10_bwd_ExpBlockA,Shift10,
246,Shift10_bwd_ExpBlockA,Shift10,
229,Shift10_bwd_ExpBlockA,Shift10,
282,Shift10_bwd_ExpBlockA,Shift10,
286,Shift10_bwd_ExpBlockA,Shift10,
307,Shift0_fwd_ExpBlockA,Shift0,
336,Shift0_fwd_ExpBlockA,Shift0,
356,Shift0_fwd_ExpBlockA,Shift0,
256,Shift0_fwd_ExpBlockA,Shift0,
211,Shift0_fwd_ExpBlockA,Shift0,
304,Shift0_bwd_ExpBlockC,Shift0,
233,Shift0_bwd_ExpBlockC,Shift0,
260,Shift0_bwd_ExpBlockC,Shift0,
357,Shift0_bwd_ExpBlockC,Shift0,
346,Shift0_bwd_ExpBlockC,Shift0,
169,Shift0_bwd_ExpBlockC,Shift0,
167,Shift10_fwd_ExpBlockC,Shift10,
238,Shift10_fwd_ExpBlockC,Shift10,
203,Shift10_fwd_ExpBlockC,Shift10,
281,Shift10_fwd_ExpBlockC,Shift10,
180,Shift10_fwd_ExpBlockC,Shift10,
335,Shift0_bwd_ExpBlockB,Shift0,
227,Shift0_bwd_ExpBlockB,Shift0,
295,Shift0_bwd_ExpBlockB,Shift0,
348,Shift0_bwd_ExpBlockB,Shift0,
201,Shift0_bwd_ExpBlockB,Shift0,
155,Shift0_bwd_ExpBlockB,Shift0,
187,Shift0_bwd_ExpBlockA,Shift0,
251,Shift0_bwd_ExpBlockA,Shift0,
259,Shift0_bwd_ExpBlockA,Shift0,
339,Shift0_bwd_ExpBlockA,Shift0,
177,Shift0_bwd_ExpBlockA,Shift0,
354,Shift0_bwd_ExpBlockA,Shift0,
317,Shift10_bwd_ExpBlockC,Shift10,
334,Shift10_bwd_ExpBlockC,Shift10,
392,Shift10_bwd_ExpBlockC,Shift10,
164,Shift10_bwd_ExpBlockC,Shift10,
175,Shift10_bwd_ExpBlockC,Shift10,
156,Shift0_fwd_ExpBlockB,Shift0,
347,Shift0_fwd_ExpBlockB,Shift0,
245,Shift0_fwd_ExpBlockB,Shift0,
160,Shift0_fwd_ExpBlockB,Shift0,
179,Shift0_fwd_ExpBlockB,Shift0,
205,Shift40_fwd_ExpBlockC,Shift40,
395,Shift40_fwd_ExpBlockC,Shift40,
243,Shift40_fwd_ExpBlockC,Shift40,
390,Shift40_fwd_ExpBlockC,Shift40,
373,Shift40_fwd_ExpBlockC,Shift40,
296,Shift10_fwd_ExpBlockB,Shift10,
232,Shift10_fwd_ExpBlockB,Shift10,
393,Shift10_fwd_ExpBlockB,Shift10,
189,Shift10_fwd_ExpBlockB,Shift10,
338,Shift10_fwd_ExpBlockB,Shift10,
