workerid,proliferate.condition,rsrb.sex,error
273,Shift40_bwd_ExpBlockB,Male,
363,Shift40_bwd_ExpBlockB,Male,
303,Shift40_bwd_ExpBlockB,Male,
374,Shift40_bwd_ExpBlockB,Male,
206,Shift40_bwd_ExpBlockB,Female,
297,Shift40_fwd_ExpBlockB,Female,
241,Shift40_fwd_ExpBlockB,Female,
185,Shift40_fwd_ExpBlockB,Female,
389,Shift40_fwd_ExpBlockB,Male,
196,Shift40_fwd_ExpBlockB,Female,
279,Shift40_fwd_ExpBlockB,Male,
261,Shift10_bwd_ExpBlockB,Female,
271,Shift10_bwd_ExpBlockB,Female,
289,Shift10_bwd_ExpBlockB,Female,
331,Shift10_bwd_ExpBlockB,Male,
361,Shift10_bwd_ExpBlockB,Male,
195,Shift10_bwd_ExpBlockB,Male,
315,Shift10_bwd_ExpBlockB,Female,
165,Shift10_fwd_ExpBlockA,Female,
254,Shift10_fwd_ExpBlockA,Female,
330,Shift10_fwd_ExpBlockA,NA,
306,Shift10_fwd_ExpBlockA,Male,
231,Shift10_fwd_ExpBlockA,Female,
319,Shift10_fwd_ExpBlockA,Male,
353,Shift10_fwd_ExpBlockA,Female,
270,Shift10_fwd_ExpBlockA,Male,
193,Shift40_fwd_ExpBlockA,Female,
340,Shift40_fwd_ExpBlockA,Female,
209,Shift40_fwd_ExpBlockA,Female,
228,Shift40_fwd_ExpBlockA,Male,
313,Shift40_fwd_ExpBlockA,Female,
204,Shift40_bwd_ExpBlockA,Female,
277,Shift40_bwd_ExpBlockA,Male,
269,Shift40_bwd_ExpBlockA,Male,
220,Shift40_bwd_ExpBlockA,Female,
321,Shift40_bwd_ExpBlockA,Female,
174,Shift40_bwd_ExpBlockC,Male,
262,Shift40_bwd_ExpBlockC,Female,
372,Shift40_bwd_ExpBlockC,Female,
359,Shift40_bwd_ExpBlockC,Female,
345,Shift40_bwd_ExpBlockC,Male,
376,Shift40_bwd_ExpBlockC,Female,
384,Shift0_fwd_ExpBlockC,Male,
176,Shift0_fwd_ExpBlockC,Male,
375,Shift0_fwd_ExpBlockC,Female,
329,Shift0_fwd_ExpBlockC,Female,
181,Shift0_fwd_ExpBlockC,Male,
388,Shift0_fwd_ExpBlockC,Female,
154,Shift10_bwd_ExpBlockA,Male,
327,Shift10_bwd_ExpBlockA,Female,
349,Shift10_bwd_ExpBlockA,NA,
326,Shift10_bwd_ExpBlockA,Male,
246,Shift10_bwd_ExpBlockA,Female,
229,Shift10_bwd_ExpBlockA,Male,
282,Shift10_bwd_ExpBlockA,Male,
286,Shift10_bwd_ExpBlockA,Male,
307,Shift0_fwd_ExpBlockA,Female,
336,Shift0_fwd_ExpBlockA,Female,
356,Shift0_fwd_ExpBlockA,Female,
256,Shift0_fwd_ExpBlockA,Male,
211,Shift0_fwd_ExpBlockA,Female,
304,Shift0_bwd_ExpBlockC,Male,
233,Shift0_bwd_ExpBlockC,Female,
260,Shift0_bwd_ExpBlockC,Male,
357,Shift0_bwd_ExpBlockC,Male,
346,Shift0_bwd_ExpBlockC,Male,
169,Shift0_bwd_ExpBlockC,Female,
167,Shift10_fwd_ExpBlockC,Male,
238,Shift10_fwd_ExpBlockC,Female,
203,Shift10_fwd_ExpBlockC,Female,
281,Shift10_fwd_ExpBlockC,Male,
180,Shift10_fwd_ExpBlockC,Female,
335,Shift0_bwd_ExpBlockB,Female,
227,Shift0_bwd_ExpBlockB,Male,
295,Shift0_bwd_ExpBlockB,Female,
348,Shift0_bwd_ExpBlockB,Male,
201,Shift0_bwd_ExpBlockB,Female,
155,Shift0_bwd_ExpBlockB,Male,
187,Shift0_bwd_ExpBlockA,Male,
251,Shift0_bwd_ExpBlockA,Male,
259,Shift0_bwd_ExpBlockA,Male,
339,Shift0_bwd_ExpBlockA,Female,
177,Shift0_bwd_ExpBlockA,Female,
354,Shift0_bwd_ExpBlockA,Male,
317,Shift10_bwd_ExpBlockC,Male,
334,Shift10_bwd_ExpBlockC,Male,
392,Shift10_bwd_ExpBlockC,Male,
164,Shift10_bwd_ExpBlockC,Female,
175,Shift10_bwd_ExpBlockC,Female,
156,Shift0_fwd_ExpBlockB,NA,
347,Shift0_fwd_ExpBlockB,Male,
245,Shift0_fwd_ExpBlockB,Female,
160,Shift0_fwd_ExpBlockB,Female,
179,Shift0_fwd_ExpBlockB,Female,
205,Shift40_fwd_ExpBlockC,Male,
395,Shift40_fwd_ExpBlockC,Male,
243,Shift40_fwd_ExpBlockC,Female,
390,Shift40_fwd_ExpBlockC,Male,
373,Shift40_fwd_ExpBlockC,Male,
296,Shift10_fwd_ExpBlockB,Male,
232,Shift10_fwd_ExpBlockB,Male,
393,Shift10_fwd_ExpBlockB,Male,
189,Shift10_fwd_ExpBlockB,Female,
338,Shift10_fwd_ExpBlockB,Male,
