workerid,proliferate.condition,userDateTime,error
227,Shift0_bwd_ExpBlockB,"Sat, 21 May 2022 01:52:06 GMT",
295,Shift0_bwd_ExpBlockB,"Sat, 21 May 2022 02:01:05 GMT",
348,Shift0_bwd_ExpBlockB,"Sat, 21 May 2022 02:07:56 GMT",
201,Shift0_bwd_ExpBlockB,"Sat, 21 May 2022 01:31:20 GMT",
155,Shift0_bwd_ExpBlockB,"Fri, 20 May 2022 23:58:18 GMT",
187,Shift0_bwd_ExpBlockA,"Sat, 21 May 2022 01:18:59 GMT",
251,Shift0_bwd_ExpBlockA,"Sat, 21 May 2022 01:46:31 GMT",
259,Shift0_bwd_ExpBlockA,"Sat, 21 May 2022 03:14:33 GMT",
339,Shift0_bwd_ExpBlockA,"Sat, 21 May 2022 02:14:29 GMT",
177,Shift0_bwd_ExpBlockA,"Sat, 21 May 2022 01:02:36 GMT",
354,Shift0_bwd_ExpBlockA,"Sat, 21 May 2022 02:10:33 GMT",
317,Shift10_bwd_ExpBlockC,"Sat, 21 May 2022 02:11:03 GMT",
334,Shift10_bwd_ExpBlockC,"Sat, 21 May 2022 01:59:44 GMT",
392,Shift10_bwd_ExpBlockC,"Sat, 21 May 2022 03:32:04 GMT",
164,Shift10_bwd_ExpBlockC,"Sat, 21 May 2022 00:43:57 GMT",
175,Shift10_bwd_ExpBlockC,"Sat, 21 May 2022 01:03:47 GMT",
156,Shift0_fwd_ExpBlockB,"Sat, 21 May 2022 01:06:56 GMT",
347,Shift0_fwd_ExpBlockB,"Sat, 21 May 2022 02:22:19 GMT",
245,Shift0_fwd_ExpBlockB,"Sat, 21 May 2022 01:41:00 GMT",
160,Shift0_fwd_ExpBlockB,"Sat, 21 May 2022 00:56:02 GMT",
179,Shift0_fwd_ExpBlockB,"Sat, 21 May 2022 01:10:35 GMT",
205,Shift40_fwd_ExpBlockC,"Sat, 21 May 2022 01:34:04 GMT",
395,Shift40_fwd_ExpBlockC,"Sat, 21 May 2022 04:40:15 GMT",
243,Shift40_fwd_ExpBlockC,"Sat, 21 May 2022 01:47:06 GMT",
390,Shift40_fwd_ExpBlockC,"Sat, 21 May 2022 03:22:50 GMT",
373,Shift40_fwd_ExpBlockC,"Sat, 21 May 2022 02:23:33 GMT",
296,Shift10_fwd_ExpBlockB,"Sat, 21 May 2022 02:04:20 GMT",
232,Shift10_fwd_ExpBlockB,"Sat, 21 May 2022 01:47:50 GMT",
393,Shift10_fwd_ExpBlockB,"Sat, 21 May 2022 03:54:29 GMT",
189,Shift10_fwd_ExpBlockB,"Sat, 21 May 2022 01:17:25 GMT",
338,Shift10_fwd_ExpBlockB,"Sat, 21 May 2022 02:14:45 GMT",
