workerid,proliferate.condition,randomID,error
273,Shift40_bwd_ExpBlockB,spWvS9UM9NolIW78,
363,Shift40_bwd_ExpBlockB,Wkh4CRMi81ETrniS,
303,Shift40_bwd_ExpBlockB,vxzOkt6YrQlTL7hP,
374,Shift40_bwd_ExpBlockB,vzUeSr5VNYF7oHd5,
206,Shift40_bwd_ExpBlockB,Aj4uAtctJgpwYmcP,
297,Shift40_fwd_ExpBlockB,ZQzbLHklVWgwOimm,
241,Shift40_fwd_ExpBlockB,GPCikTSyHRcpDAZ3,
185,Shift40_fwd_ExpBlockB,7wbxy8AYf1rpBAiE,
389,Shift40_fwd_ExpBlockB,CahOqFxk4GG0FlTg,
196,Shift40_fwd_ExpBlockB,S7zI5NQAbaFHBOeD,
279,Shift40_fwd_ExpBlockB,YYzrR5ODyDqljozh,
261,Shift10_bwd_ExpBlockB,mypSzDYHA0H1XSsW,
271,Shift10_bwd_ExpBlockB,cnrc8Tx35IjMuzM2,
289,Shift10_bwd_ExpBlockB,jjr8H2P0vAauaP5A,
331,Shift10_bwd_ExpBlockB,7aCQjtM6LFDRSfFa,
361,Shift10_bwd_ExpBlockB,TevHQjcfXXACXGdd,
195,Shift10_bwd_ExpBlockB,GelnO9EroMqIIqT7,
315,Shift10_bwd_ExpBlockB,3dUrIBZguPE7J7vZ,
165,Shift10_fwd_ExpBlockA,YUrGexx0Kl5TZbNf,
254,Shift10_fwd_ExpBlockA,HnURcTSJb5t11ZUL,
330,Shift10_fwd_ExpBlockA,AzhA6agXM0GhxeTc,
306,Shift10_fwd_ExpBlockA,GvoZUU4SIwAh4pJb,
231,Shift10_fwd_ExpBlockA,uB6vJRX40gvGrGgW,
319,Shift10_fwd_ExpBlockA,UsLARJgl4GtPSdcc,
353,Shift10_fwd_ExpBlockA,zJPJEpLdLxI8ZfvV,
270,Shift10_fwd_ExpBlockA,4vLAulpCoMirpzBJ,
193,Shift40_fwd_ExpBlockA,tBS4E5itzlr4GB8f,
340,Shift40_fwd_ExpBlockA,shwrc13dyadMSjXT,
209,Shift40_fwd_ExpBlockA,EM1q4wRWxNG6ROcG,
228,Shift40_fwd_ExpBlockA,fx6VVRtll5K5vJSo,
313,Shift40_fwd_ExpBlockA,FBZYqaC1Y68Bwz6C,
204,Shift40_bwd_ExpBlockA,n2UmURnpfnAomhh2,
277,Shift40_bwd_ExpBlockA,r33054lndPBirl0u,
269,Shift40_bwd_ExpBlockA,91sMwHclN1WNOD5R,
220,Shift40_bwd_ExpBlockA,6Ao0g2MOohkWWkuw,
321,Shift40_bwd_ExpBlockA,FPe1BA8HXzMOWsop,
174,Shift40_bwd_ExpBlockC,k9OsjfK6C2uhFtxL,
262,Shift40_bwd_ExpBlockC,bAIFX3SMjEMZrjfd,
372,Shift40_bwd_ExpBlockC,HwCvpjN55I0JtJlc,
359,Shift40_bwd_ExpBlockC,ADxm2TlSRNdWTsgI,
345,Shift40_bwd_ExpBlockC,DRDhOcHxN3kC3uyN,
376,Shift40_bwd_ExpBlockC,KvIxzlxMxDt4aRC8,
384,Shift0_fwd_ExpBlockC,vmvOezl6w2Hchf7V,
176,Shift0_fwd_ExpBlockC,zj992YlPuyV0owxb,
375,Shift0_fwd_ExpBlockC,w7G4z7MJ67gAlBkb,
329,Shift0_fwd_ExpBlockC,FciG6Qoow9jmwdQT,
181,Shift0_fwd_ExpBlockC,SYBAPBvdmq7krZon,
388,Shift0_fwd_ExpBlockC,iELldPr3n90s8DP2,
154,Shift10_bwd_ExpBlockA,ZV0ON6hWRIo3FZQN,
327,Shift10_bwd_ExpBlockA,d5sSv9dH9GDJU6QX,
349,Shift10_bwd_ExpBlockA,4mAzs0ShccZrNhHh,
326,Shift10_bwd_ExpBlockA,cadgYHc8hnbxzsHr,
246,Shift10_bwd_ExpBlockA,On2XRSbXqvNu7ygi,
229,Shift10_bwd_ExpBlockA,61GggGUoMf32Aj7M,
282,Shift10_bwd_ExpBlockA,wim9vIs1CVRTKrqz,
286,Shift10_bwd_ExpBlockA,5Q71wkJ0eoS9jfVN,
307,Shift0_fwd_ExpBlockA,EXLI7PBUXW5fFHzq,
336,Shift0_fwd_ExpBlockA,hMjgIKqp1dx2MKDi,
356,Shift0_fwd_ExpBlockA,IQkmTfaCudTkNo3y,
256,Shift0_fwd_ExpBlockA,WObJh0rf3GJFj9YZ,
211,Shift0_fwd_ExpBlockA,24CRben29uqJbbPs,
304,Shift0_bwd_ExpBlockC,ivIBNzAa16XbLkVz,
233,Shift0_bwd_ExpBlockC,v0CUWIlwmT6j4Hqc,
260,Shift0_bwd_ExpBlockC,VfxujI3TZJYTWkqh,
357,Shift0_bwd_ExpBlockC,zRLxYBmwDKXw04ub,
346,Shift0_bwd_ExpBlockC,3avsgHuvWmwVSDS2,
169,Shift0_bwd_ExpBlockC,djt6ngBLw2mwd6Yn,
167,Shift10_fwd_ExpBlockC,bbMkfpa0vQ1XSAS6,
238,Shift10_fwd_ExpBlockC,MRQreMKcaJU4MrDm,
203,Shift10_fwd_ExpBlockC,AKHOmmwHDBBUiyPe,
281,Shift10_fwd_ExpBlockC,QvZpnvFA8xSFsnER,
180,Shift10_fwd_ExpBlockC,RqgoZfv9My0usSh7,
335,Shift0_bwd_ExpBlockB,aKa4MTVww4SqNYd2,
227,Shift0_bwd_ExpBlockB,LcDHqrxi2ZUD5NOn,
295,Shift0_bwd_ExpBlockB,glj90rz91MpsJ5vU,
348,Shift0_bwd_ExpBlockB,ikLQ7XCanxd0Txv3,
201,Shift0_bwd_ExpBlockB,tL74UJhzCxHIInUi,
155,Shift0_bwd_ExpBlockB,YfgML7L9du1az3Uc,
187,Shift0_bwd_ExpBlockA,Yo4CcKAqxDiyzsdV,
251,Shift0_bwd_ExpBlockA,E9dNAUNrYoYqpS3Z,
259,Shift0_bwd_ExpBlockA,cQUKVHzPrN8voDjB,
339,Shift0_bwd_ExpBlockA,WFxabHSrdOKmtTuv,
177,Shift0_bwd_ExpBlockA,1CEZapKQoytnzRQf,
354,Shift0_bwd_ExpBlockA,ioL6SC1YZc92XTY0,
317,Shift10_bwd_ExpBlockC,LUslfPYjjkMkCSzb,
334,Shift10_bwd_ExpBlockC,g0cHzA0Se1AkSR6t,
392,Shift10_bwd_ExpBlockC,3kXEeC8yYEWUz6W9,
164,Shift10_bwd_ExpBlockC,cEOgmtljQhLscl64,
175,Shift10_bwd_ExpBlockC,0FmJ5fafSerDXGg6,
156,Shift0_fwd_ExpBlockB,iQRQmDFEskrJywQk,
347,Shift0_fwd_ExpBlockB,Y7R7cN0OrOYjr3ZC,
245,Shift0_fwd_ExpBlockB,jJoTaVL0122MdJFF,
160,Shift0_fwd_ExpBlockB,TKoLTHKe87ir1Ovm,
179,Shift0_fwd_ExpBlockB,SCqonWo6WvFcu7ek,
205,Shift40_fwd_ExpBlockC,hwTE85EFHmzsQQ6k,
395,Shift40_fwd_ExpBlockC,YsPIDDNoNycwoc8X,
243,Shift40_fwd_ExpBlockC,b7zlv9Cnw31Pj9yg,
390,Shift40_fwd_ExpBlockC,7k9fVzryyzSrT4Gv,
373,Shift40_fwd_ExpBlockC,GNXpetNwf4u9kYQ4,
296,Shift10_fwd_ExpBlockB,AUgRoQkYuNDwE168,
232,Shift10_fwd_ExpBlockB,DHj6qNl9RPOEksAJ,
393,Shift10_fwd_ExpBlockB,FtIbnxXzXrYzIGP5,
189,Shift10_fwd_ExpBlockB,YWJXByuHKbvlhUbj,
338,Shift10_fwd_ExpBlockB,psaXI9zktqK08XrW,
