workerid,proliferate.condition,audio_stall,error
273,Shift40_bwd_ExpBlockB,no,
363,Shift40_bwd_ExpBlockB,no,
303,Shift40_bwd_ExpBlockB,no,
374,Shift40_bwd_ExpBlockB,no,
206,Shift40_bwd_ExpBlockB,no,
297,Shift40_fwd_ExpBlockB,no,
241,Shift40_fwd_ExpBlockB,no,
185,Shift40_fwd_ExpBlockB,no,
389,Shift40_fwd_ExpBlockB,no,
196,Shift40_fwd_ExpBlockB,no,
279,Shift40_fwd_ExpBlockB,no,
261,Shift10_bwd_ExpBlockB,no,
271,Shift10_bwd_ExpBlockB,no,
289,Shift10_bwd_ExpBlockB,no,
331,Shift10_bwd_ExpBlockB,no,
361,Shift10_bwd_ExpBlockB,no,
195,Shift10_bwd_ExpBlockB,no,
315,Shift10_bwd_ExpBlockB,no,
165,Shift10_fwd_ExpBlockA,no,
254,Shift10_fwd_ExpBlockA,no,
330,Shift10_fwd_ExpBlockA,no,
306,Shift10_fwd_ExpBlockA,no,
231,Shift10_fwd_ExpBlockA,no,
319,Shift10_fwd_ExpBlockA,no,
353,Shift10_fwd_ExpBlockA,no,
270,Shift10_fwd_ExpBlockA,no,
193,Shift40_fwd_ExpBlockA,no,
340,Shift40_fwd_ExpBlockA,no,
209,Shift40_fwd_ExpBlockA,no,
228,Shift40_fwd_ExpBlockA,no,
313,Shift40_fwd_ExpBlockA,no,
204,Shift40_bwd_ExpBlockA,no,
277,Shift40_bwd_ExpBlockA,no,
269,Shift40_bwd_ExpBlockA,no,
220,Shift40_bwd_ExpBlockA,no,
321,Shift40_bwd_ExpBlockA,no,
174,Shift40_bwd_ExpBlockC,no,
262,Shift40_bwd_ExpBlockC,no,
372,Shift40_bwd_ExpBlockC,no,
359,Shift40_bwd_ExpBlockC,no,
345,Shift40_bwd_ExpBlockC,no,
376,Shift40_bwd_ExpBlockC,no,
384,Shift0_fwd_ExpBlockC,no,
176,Shift0_fwd_ExpBlockC,no,
375,Shift0_fwd_ExpBlockC,no,
329,Shift0_fwd_ExpBlockC,no,
181,Shift0_fwd_ExpBlockC,no,
388,Shift0_fwd_ExpBlockC,no,
154,Shift10_bwd_ExpBlockA,no,
327,Shift10_bwd_ExpBlockA,some,
349,Shift10_bwd_ExpBlockA,no,
326,Shift10_bwd_ExpBlockA,no,
246,Shift10_bwd_ExpBlockA,no,
229,Shift10_bwd_ExpBlockA,no,
282,Shift10_bwd_ExpBlockA,no,
286,Shift10_bwd_ExpBlockA,some,
307,Shift0_fwd_ExpBlockA,no,
336,Shift0_fwd_ExpBlockA,no,
356,Shift0_fwd_ExpBlockA,no,
256,Shift0_fwd_ExpBlockA,no,
211,Shift0_fwd_ExpBlockA,no,
304,Shift0_bwd_ExpBlockC,no,
233,Shift0_bwd_ExpBlockC,no,
260,Shift0_bwd_ExpBlockC,no,
357,Shift0_bwd_ExpBlockC,no,
346,Shift0_bwd_ExpBlockC,no,
169,Shift0_bwd_ExpBlockC,no,
167,Shift10_fwd_ExpBlockC,no,
238,Shift10_fwd_ExpBlockC,no,
203,Shift10_fwd_ExpBlockC,no,
281,Shift10_fwd_ExpBlockC,no,
180,Shift10_fwd_ExpBlockC,no,
335,Shift0_bwd_ExpBlockB,no,
227,Shift0_bwd_ExpBlockB,no,
295,Shift0_bwd_ExpBlockB,no,
348,Shift0_bwd_ExpBlockB,no,
201,Shift0_bwd_ExpBlockB,no,
155,Shift0_bwd_ExpBlockB,no,
187,Shift0_bwd_ExpBlockA,no,
251,Shift0_bwd_ExpBlockA,no,
259,Shift0_bwd_ExpBlockA,no,
339,Shift0_bwd_ExpBlockA,no,
177,Shift0_bwd_ExpBlockA,no,
354,Shift0_bwd_ExpBlockA,no,
317,Shift10_bwd_ExpBlockC,no,
334,Shift10_bwd_ExpBlockC,no,
392,Shift10_bwd_ExpBlockC,no,
164,Shift10_bwd_ExpBlockC,no,
175,Shift10_bwd_ExpBlockC,no,
156,Shift0_fwd_ExpBlockB,no,
347,Shift0_fwd_ExpBlockB,no,
245,Shift0_fwd_ExpBlockB,no,
160,Shift0_fwd_ExpBlockB,some,
179,Shift0_fwd_ExpBlockB,no,
205,Shift40_fwd_ExpBlockC,no,
395,Shift40_fwd_ExpBlockC,some,
243,Shift40_fwd_ExpBlockC,no,
390,Shift40_fwd_ExpBlockC,no,
373,Shift40_fwd_ExpBlockC,no,
296,Shift10_fwd_ExpBlockB,no,
232,Shift10_fwd_ExpBlockB,no,
393,Shift10_fwd_ExpBlockB,no,
189,Shift10_fwd_ExpBlockB,no,
338,Shift10_fwd_ExpBlockB,no,
