workerid,proliferate.condition,autoAdvanceReady,error
273,Shift40_bwd_ExpBlockB,false,
363,Shift40_bwd_ExpBlockB,false,
303,Shift40_bwd_ExpBlockB,false,
374,Shift40_bwd_ExpBlockB,false,
206,Shift40_bwd_ExpBlockB,false,
297,Shift40_fwd_ExpBlockB,false,
241,Shift40_fwd_ExpBlockB,false,
185,Shift40_fwd_ExpBlockB,false,
389,Shift40_fwd_ExpBlockB,false,
196,Shift40_fwd_ExpBlockB,false,
279,Shift40_fwd_ExpBlockB,false,
261,Shift10_bwd_ExpBlockB,false,
271,Shift10_bwd_ExpBlockB,false,
289,Shift10_bwd_ExpBlockB,false,
331,Shift10_bwd_ExpBlockB,false,
361,Shift10_bwd_ExpBlockB,false,
195,Shift10_bwd_ExpBlockB,false,
315,Shift10_bwd_ExpBlockB,false,
165,Shift10_fwd_ExpBlockA,false,
254,Shift10_fwd_ExpBlockA,false,
330,Shift10_fwd_ExpBlockA,false,
306,Shift10_fwd_ExpBlockA,false,
231,Shift10_fwd_ExpBlockA,false,
319,Shift10_fwd_ExpBlockA,false,
353,Shift10_fwd_ExpBlockA,false,
270,Shift10_fwd_ExpBlockA,false,
193,Shift40_fwd_ExpBlockA,false,
340,Shift40_fwd_ExpBlockA,false,
209,Shift40_fwd_ExpBlockA,false,
228,Shift40_fwd_ExpBlockA,false,
313,Shift40_fwd_ExpBlockA,false,
204,Shift40_bwd_ExpBlockA,false,
277,Shift40_bwd_ExpBlockA,false,
269,Shift40_bwd_ExpBlockA,false,
220,Shift40_bwd_ExpBlockA,false,
321,Shift40_bwd_ExpBlockA,false,
174,Shift40_bwd_ExpBlockC,false,
262,Shift40_bwd_ExpBlockC,false,
372,Shift40_bwd_ExpBlockC,false,
359,Shift40_bwd_ExpBlockC,false,
345,Shift40_bwd_ExpBlockC,false,
376,Shift40_bwd_ExpBlockC,false,
384,Shift0_fwd_ExpBlockC,false,
176,Shift0_fwd_ExpBlockC,false,
375,Shift0_fwd_ExpBlockC,false,
329,Shift0_fwd_ExpBlockC,false,
181,Shift0_fwd_ExpBlockC,false,
388,Shift0_fwd_ExpBlockC,false,
154,Shift10_bwd_ExpBlockA,false,
327,Shift10_bwd_ExpBlockA,false,
349,Shift10_bwd_ExpBlockA,false,
326,Shift10_bwd_ExpBlockA,false,
246,Shift10_bwd_ExpBlockA,false,
229,Shift10_bwd_ExpBlockA,false,
282,Shift10_bwd_ExpBlockA,false,
286,Shift10_bwd_ExpBlockA,false,
307,Shift0_fwd_ExpBlockA,false,
336,Shift0_fwd_ExpBlockA,false,
356,Shift0_fwd_ExpBlockA,false,
256,Shift0_fwd_ExpBlockA,false,
211,Shift0_fwd_ExpBlockA,false,
304,Shift0_bwd_ExpBlockC,false,
233,Shift0_bwd_ExpBlockC,false,
260,Shift0_bwd_ExpBlockC,false,
357,Shift0_bwd_ExpBlockC,false,
346,Shift0_bwd_ExpBlockC,false,
169,Shift0_bwd_ExpBlockC,false,
167,Shift10_fwd_ExpBlockC,false,
238,Shift10_fwd_ExpBlockC,false,
203,Shift10_fwd_ExpBlockC,false,
281,Shift10_fwd_ExpBlockC,false,
180,Shift10_fwd_ExpBlockC,false,
335,Shift0_bwd_ExpBlockB,false,
227,Shift0_bwd_ExpBlockB,false,
295,Shift0_bwd_ExpBlockB,false,
348,Shift0_bwd_ExpBlockB,false,
201,Shift0_bwd_ExpBlockB,false,
155,Shift0_bwd_ExpBlockB,false,
187,Shift0_bwd_ExpBlockA,false,
251,Shift0_bwd_ExpBlockA,false,
259,Shift0_bwd_ExpBlockA,false,
339,Shift0_bwd_ExpBlockA,false,
177,Shift0_bwd_ExpBlockA,false,
354,Shift0_bwd_ExpBlockA,false,
317,Shift10_bwd_ExpBlockC,false,
334,Shift10_bwd_ExpBlockC,false,
392,Shift10_bwd_ExpBlockC,false,
164,Shift10_bwd_ExpBlockC,false,
175,Shift10_bwd_ExpBlockC,false,
156,Shift0_fwd_ExpBlockB,false,
347,Shift0_fwd_ExpBlockB,false,
245,Shift0_fwd_ExpBlockB,false,
160,Shift0_fwd_ExpBlockB,false,
179,Shift0_fwd_ExpBlockB,false,
205,Shift40_fwd_ExpBlockC,false,
395,Shift40_fwd_ExpBlockC,false,
243,Shift40_fwd_ExpBlockC,false,
390,Shift40_fwd_ExpBlockC,false,
373,Shift40_fwd_ExpBlockC,false,
296,Shift10_fwd_ExpBlockB,false,
232,Shift10_fwd_ExpBlockB,false,
393,Shift10_fwd_ExpBlockB,false,
189,Shift10_fwd_ExpBlockB,false,
338,Shift10_fwd_ExpBlockB,false,
