workerid,proliferate.condition,experiment_id,error
357,Shift0_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
346,Shift0_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
169,Shift0_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
167,Shift10_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
238,Shift10_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
203,Shift10_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
281,Shift10_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
180,Shift10_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
335,Shift0_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
227,Shift0_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
295,Shift0_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
348,Shift0_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
201,Shift0_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
155,Shift0_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
187,Shift0_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
251,Shift0_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
259,Shift0_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
339,Shift0_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
177,Shift0_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
354,Shift0_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
317,Shift10_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
334,Shift10_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
392,Shift10_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
164,Shift10_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
175,Shift10_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
156,Shift0_fwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
347,Shift0_fwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
245,Shift0_fwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
160,Shift0_fwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
179,Shift0_fwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
205,Shift40_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
395,Shift40_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
243,Shift40_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
390,Shift40_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
373,Shift40_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
296,Shift10_fwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
232,Shift10_fwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
393,Shift10_fwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
189,Shift10_fwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
338,Shift10_fwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
