filename,vowel,f0_5ms_into_vowel,f0_10ms_into_vowel,word,VOT,target_f0,vowel_duration
dilltill_VOT-10_F0246,0.11223682345989604,245.45780612501144,245.29853695063332,dilltill,-10,F0246,112.23682345989604
dilltill_VOT-100_F0242,0.11091695053837292,242.28709573968197,242.04050621752845,dilltill,-100,F0242,110.91695053837292
dilltill_VOT-15_F0246,0.1072197114922444,245.38789473487316,245.2034811024868,dilltill,-15,F0246,107.2197114922444
dilltill_VOT-20_F0245,0.1051840147216252,245.35906337224665,245.17916227339015,dilltill,-20,F0245,105.1840147216252
dilltill_VOT-25_F0245,0.10942030961078596,244.35716617997255,244.2215189733574,dilltill,-25,F0245,109.42030961078596
dilltill_VOT-30_F0245,0.10914688708510312,244.30481607258108,244.2014049119708,dilltill,-30,F0245,109.14688708510312
dilltill_VOT-40_F0245,0.11240667002244507,243.94815824238032,244.03257434993165,dilltill,-40,F0245,112.40667002244507
dilltill_VOT-5_F0246,0.10842427105522344,245.55683255521296,245.3017216825944,dilltill,-5,F0246,108.42427105522344
dilltill_VOT-50_F0244,0.11158920039076348,243.9107007254044,243.7291090574367,dilltill,-50,F0244,111.58920039076348
dilltill_VOT-60_F0244,0.11482527765878436,243.8808946134838,243.71557473059545,dilltill,-60,F0244,114.82527765878436
dilltill_VOT-70_F0244,0.11165529264302698,243.53181774554295,243.52850872639257,dilltill,-70,F0244,111.65529264302698
dilltill_VOT-80_F0243,0.108349927579535,243.1946345409824,242.87592472264885,dilltill,-80,F0243,108.349927579535
dilltill_VOT-90_F0243,0.10515841740787936,243.07514516280145,242.82729812021304,dilltill,-90,F0243,105.15841740787936
dilltill_VOT0_F0246,0.10886131066033757,245.6759243214152,245.39244069343985,dilltill,0,F0246,108.86131066033757
dilltill_VOT10_F0247,0.1074024130470086,246.65281883814652,246.26366098208592,dilltill,10,F0247,107.4024130470086
dilltill_VOT100_F0250,0.07552547035814783,249.6159963067528,249.33453788364807,dilltill,100,F0250,75.52547035814783
dilltill_VOT105_F0250,0.07587995200832864,249.4382441137524,249.13421491473676,dilltill,105,F0250,75.87995200832864
dilltill_VOT110_F0250,0.07486707235262458,249.4342533475082,249.19645701764532,dilltill,110,F0250,74.86707235262458
dilltill_VOT115_F0250,0.0723258854608062,249.72160003880057,249.42430385680288,dilltill,115,F0250,72.3258854608062
dilltill_VOT120_F0251,0.07131218473783818,250.1895451271665,249.88845235836624,dilltill,120,F0251,71.31218473783818
dilltill_VOT125_F0251,0.06730919555491255,250.5247984947813,250.2303403119988,dilltill,125,F0251,67.30919555491255
dilltill_VOT130_F0251,0.06606499404941246,250.96630634855623,250.5355205296449,dilltill,130,F0251,66.06499404941246
dilltill_VOT135_F0251,0.0647090465888347,250.81880007133745,250.46365300387257,dilltill,135,F0251,64.7090465888347
dilltill_VOT140_F0252,0.06172009895784214,251.4097689777597,251.07835851783508,dilltill,140,F0252,61.72009895784214
dilltill_VOT145_F0252,0.0630321114175949,251.4272061681333,251.08660350220308,dilltill,145,F0252,63.032111417594905
dilltill_VOT15_F0247,0.110202949869052,246.46477027008655,246.20813699714455,dilltill,15,F0247,110.202949869052
dilltill_VOT150_F0252,0.06305549875772343,251.78310495069903,251.25451623621032,dilltill,150,F0252,63.05549875772343
